"","inPathway","outPathway"
"Tay-Sachs Disease",49,393039
"Ximelagatran Pathway",19,393069
"Androgen and Estrogen Metabolism",45,393043
"Lansoprazole Pathway",24,393064
"Nevirapine  Action Pathway",4,393084
"Hydrocodone Pathway",38,393050
"Hypophosphatasia",25,393063
"Vinblastine Pathway",14,393074
"Fabry disease",62,393026
"Nucleotide Sugars Metabolism",28,393060
"Netilmicin Pathway",20,393068
"Tranexamic Acid Pathway",19,393069
"Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin",17,393071
"Pyridoxine dependency with seizures",40,393048
"Malonyl-coa decarboxylase deficiency",52,393036
"Timolol Action Pathway",68,393020
"Irinotecan Pathway",25,393063
"Steroid Biosynthesis",126,392962
"Metachromatic Leukodystrophy (MLD)",62,393026
"Procainamide (Antiarrhythmic) Pathway",68,393020
"Reteplase Pathway",18,393070
"Transfer of Acetyl Groups into Mitochondria",30,393058
"Phenytoin (Antiarrhythmic) Pathway",93,392995
"Eptifibatide Pathway",1,393087
"Primary hyperoxaluria II, PH2",68,393020
"Sotalol Action Pathway",68,393020
"Gaucher Disease",62,393026
"Irinotecan Metabolism Pathway",23,393065
"Ketorolac Pathway",93,392995
"Bumetanide Pathway",42,393046
"Phenylacetate Metabolism",12,393076
"Buprenorphine Action Pathway",38,393050
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)",87,393001
"Refsum Disease",28,393060
"Porphyria Variegata (PV)",54,393034
"Lansoprazole Metabolism Pathway",4,393084
"Citrullinemia Type I",41,393047
"Propanoate Metabolism",102,392986
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",36,393052
"Morphine Pathway",48,393040
"Methacycline Action Pathway",20,393068
"Apparent mineralocorticoid excess syndrome",54,393034
"Argatroban Pathway",19,393069
"The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria",65,393023
"Nifedipine Pathway",68,393020
"Carnitine palmitoyl transferase deficiency (II)",56,393032
"Flurbiprofen Action Pathway",93,392995
"Gout or Kelley-Seegmiller Syndrome",109,392979
"Cilazapril Metabolism Pathway",4,393084
"Zidovudine Action Pathway",4,393084
"Clarithromycin Pathway",20,393068
"Desmosterolosis",67,393021
"CHILD Syndrome",67,393021
"Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)",40,393048
"Medium chain acyl-coa dehydrogenase deficiency (MCAD)",56,393032
"Tenoxicam Action Pathway",93,392995
"D-Arginine and D-Ornithine Metabolism",17,393071
"Malate-Aspartate Shuttle",14,393074
"2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency",89,392999
"Hyperphenylalaninemia due to dhpr-deficiency",29,393059
"Cilostazol Pathway",3,393085
"Heroin Metabolism Pathway",8,393080
"Phenylketonuria",40,393048
"Congenital lactic acidosis",52,393036
"Methylhistidine Metabolism",4,393084
"Pyruvate Dehydrogenase Complex Deficiency",68,393020
"Diphenoxylate Action Pathway",38,393050
"Intracellular Signalling Through Histamine H2 Receptor and Histamine",17,393071
"Myoadenylate deaminase deficiency",109,392979
"Venlafaxine Metabolism Pathway",14,393074
"Methotrexate Pathway",42,393046
"Naproxen Pathway",94,392994
"Prednisolone Pathway",2,393086
"Leukotriene C4 Synthesis Deficiency",92,392996
"Homocarnosinosis",72,393016
"Vitamin B6 Metabolism",45,393043
"Levallorphan Action Pathway",38,393050
"Glycogenosis, Type IC",56,393032
"Prednisolone Metabolism Pathway",2,393086
"Beta-Alanine Metabolism",86,393002
"Phenylbutazone Action Pathway",93,392995
"Clopidogrel Metabolism Pathway",19,393069
"Histidine Metabolism",103,392985
"Salicylic Acid Action Pathway",93,392995
"Lysinuric Protein Intolerance",41,393047
"Tamoxifen Metabolism Pathway",30,393058
"3-Methylglutaconic Aciduria Type I",89,392999
"Acetaminophen  Action Pathway",93,392995
"Mitochondrial Electron Transport Chain",37,393051
"Cyclothiazide Pathway",42,393046
"Glycerolipid Metabolism",120,392968
"Abciximab Pathway",1,393087
"Aminocaproic Acid Pathway",19,393069
"Quinethazone Pathway",42,393046
"Ropivacaine Pathway",38,393050
"Rofecoxib Pathway",92,392996
"Antipyrine Action Pathway",93,392995
"Molybdenum Cofactor Deficiency",109,392979
"Glucose Transporter Defect (SGLT2)",41,393047
"Moexipril Metabolism Pathway",4,393084
"Eprosartan Action Pathway",11,393077
"Azithromycin Pathway",20,393068
"Methadyl Acetate Action Pathway",38,393050
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)1",87,393001
"Nitrendipine Pathway",68,393020
"Sulfate/Sulfite Metabolism",29,393059
"Clopidogrel Pathway",19,393069
"Alendronate pathway",68,393020
"Maple Syrup Urine Disease",89,392999
"Simvastatin Action Pathway",68,393020
"Tenofovir Metabolism Pathway",8,393080
"3-Phosphoglycerate dehydrogenase deficiency",81,393007
"Bevantolol Action Pathway",68,393020
"Didanosine Action Pathway",4,393084
"Cilazapril Pathway",11,393077
"Lidocaine (Local Anaesthetic) Pathway",55,393033
"Alanine Metabolism",22,393066
"Dibucaine Pathway",38,393050
"Folate Metabolism",103,392985
"Chloramphenicol Action Pathway",20,393068
"Amikacin Pathway",20,393068
"Tyrosinemia Type 2 (or Richner-Hanhart syndrome)",39,393049
"Eplerenone Pathway",42,393046
"Catecholamine Biosynthesis",30,393058
"Aprotinin Pathway",18,393070
"Urokinase Pathway",18,393070
"Acenocoumarol Pathway",19,393069
"Disopyramide Pathway",68,393020
"Enoxaparin Pathway",20,393068
"G(M2)-Gangliosidosis: Variant B, Tay-sachs disease",49,393039
"Metipranolol Action Pathway",68,393020
"Homocysteine Degradation",11,393077
"Congenital Erythropoietic Porphyria (CEP) or Gunther Disease",54,393034
"Thioguanine Pathway",129,392959
"17-alpha-hydroxylase deficiency (CYP17)",54,393034
"Prednisone Pathway",5,393083
"Tirofiban Pathway",2,393086
"Streptokinase Pathway",18,393070
"Rescinnamine Pathway",11,393077
"Glucose-6-phosphate dehydrogenase deficiency",44,393044
"Fosinopril Pathway",11,393077
"Olmesartan Action Pathway",11,393077
"Thyroid hormone synthesis",104,392984
"Oxidation of Branched Chain Fatty Acids",34,393054
"Amlodipine Pathway",68,393020
"Methadone Metabolism Pathway",17,393071
"Lepirudin Pathway",18,393070
"Wolman disease",67,393021
"Lovastatin Pathway",68,393020
"Excitatory Neural Signalling Through 5-HTR 6 and Serotonin ",16,393072
"Ureidopropionase deficiency",43,393045
"Pravastatin Pathway",68,393020
"Meloxicam Pathway",93,392995
"Metiamide Action Pathway",23,393065
"Chlorthalidone Pathway",42,393046
"Lisinopril Pathway",11,393077
"Xanthine Dehydrogenase Deficiency (Xanthinuria)",109,392979
"5-Oxoprolinuria",29,393059
"Metoprolol Pathway",68,393020
"Congenital Bile Acid Synthesis Defect Type II",80,393008
"Acute Intermittent Porphyria",54,393034
"Labetalol Pathway",69,393019
"Fructosuria",50,393038
"Lactic Acidemia",22,393066
"Caffeine Metabolism",47,393041
"Carnitine Synthesis",30,393058
"Tolmetin Action Pathway",93,392995
"Methionine Metabolism",62,393026
"Insulin Signalling",18,393070
"Naloxone Action Pathway",38,393050
"Practolol Action Pathway",68,393020
"Spirapril Pathway",11,393077
"Arginine and Proline Metabolism",170,392918
"Intracellular Signalling Through Adenosine Receptor A2a and Adenosine",44,393044
"Ticlopidine Metabolism Pathway",2,393086
"Glycerol Kinase Deficiency",37,393051
"Lysine Degradation",134,392954
"Carnitine-acylcarnitine translocase deficiency",19,393069
"GABA-Transaminase Deficiency",43,393045
"Phosphatidylinositol Phosphate Metabolism",35,393053
"Pamidronate Pathway",68,393020
"Lactose Degradation",20,393068
"Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps)",29,393059
"Dezocine Action Pathway",38,393050
"Enalapril Metabolism Pathway",4,393084
"Vincristine Pathway",12,393076
"Pyruvate dehydrogenase deficiency (E2)",52,393036
"Starch and Sucrose Metabolism",98,392990
"Ibutilide Pathway",68,393020
"Valsartan Action Pathway",11,393077
"Sarcosinemia",81,393007
"Dicumarol Pathway",19,393069
"Muscle/Heart Contraction",67,393021
"Vatalanib Action Pathway",1,393087
"Omeprazole Pathway",25,393063
"Candesartan Action Pathway",11,393077
"Mucopolysaccharidosis VI. Sly syndrome",44,393044
"Retinol Metabolism",110,392978
"Erlotinib Pathway",8,393080
"Hyperlysinemia II or Saccharopinuria",40,393048
"Fluorouracil Metabolism Pathway",2,393086
"Irbesartan Action Pathway",11,393077
"Pyrimidine Metabolism",197,392891
"Glutathione Metabolism",120,392968
"Josamycin Action Pathway",20,393068
"Histidinemia",56,393032
"Hyperprolinemia Type II",73,393015
"Erythromycin Pathway",20,393068
"Diflunisal Pathway",93,392995
"Segawa syndrome",29,393059
"Vasopressin Regulation of Water Homeostasis",14,393074
"Mercaptopurine Metabolism Pathway",37,393051
"Ibuprofen Pathway",108,392980
"Trifunctional protein deficiency",56,393032
"Trandolapril Metabolism Pathway",4,393084
"Lysosomal Acid Lipase Deficiency (Wolman Disease)",67,393021
"Fosinopril Metabolism Pathway",4,393084
"Cerivastatin Pathway",67,393021
"Esomeprazole Metabolism Pathway",3,393085
"Gamma-Glutamyltransferase Deficiency",29,393059
"Ammonia Recycling",44,393044
"Kidney Function",41,393047
"Alprenolol Pathway",68,393020
"Ketobemidone  Action Pathway",38,393050
"Tyrosinemia Type 3 (TYRO3)",39,393049
"Prilocaine Pathway",38,393050
"Nebivolol Pathway",68,393020
"Lamivudine  Action Pathway",4,393084
"Felodipine Pathway",68,393020
"Leigh Syndrome",68,393020
"5-oxoprolinase deficiency",29,393059
"Cystinosis, ocular nonnephropathic",35,393053
"Acetaminophen Metabolism Pathway",37,393051
"Benazepril Pathway",11,393077
"Intracellular Signalling Through PGD2 receptor and Prostaglandin D2",13,393075
"Doxorubicin Metabolism Pathway",31,393057
"Argininemia",41,393047
"Epinephrine Action Pathway",68,393020
"Glibenclamide Pathway",10,393078
"Celecoxib Metabolism Pathway",20,393068
"Imipramine Metabolism Pathway",18,393070
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",38,393050
"Propionic Acidemia",89,392999
"Arachidonic Acid Metabolism",234,392854
"Alpha Linolenic Acid and Linoleic Acid Metabolism",24,393064
"Hartnup Disorder",41,393047
"Repaglinide Pathway",10,393078
"Zoledronate Pathway",68,393020
"Corticosterone methyl oxidase I deficiency (CMO I)",54,393034
"Butyrate Metabolism",27,393061
"Esmolol Pathway",68,393020
"Tyrosinemia Type I",86,393002
"Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]",73,393015
"Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin ",16,393072
"Levobupivacaine Pathway",38,393050
"Quinidine Pathway",68,393020
"Lesch-Nyhan Syndrome (LNS)",109,392979
"Tenofovir Pathway",5,393083
"Famotidine Pathway",23,393065
"Glutaric Aciduria Type I",82,393006
"Dobutamine Action Pathway",68,393020
"Tramadol Action Action Pathway",38,393050
"Alfentanil Pathway",38,393050
"Dopamine Activation of Neurological Reward System",13,393075
"Teniposide Metabolism Pathway",13,393075
"Lamivudine Metabolism Pathway",32,393056
"Fatty Acid Biosynthesis",110,392978
"Ethylmorphine Action Pathway",38,393050
"Diclofenac Pathway",94,392994
"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)",73,393015
"GLUT-1 deficiency syndrome",29,393059
"Carbamazepine Metabolism Pathway",23,393065
"Lumiracoxib Action Pathway",93,392995
"Lidocaine (Antiarrhythmic) Pathway",85,393003
"Beta Ureidopropionase Deficiency",82,393006
"Desipramine Pathway",45,393043
"Ticlopidine Pathway",3,393085
"Cystinuria",41,393047
"Adefovir Dipivoxil Metabolism Pathway",8,393080
"Remifentanil Pathway",38,393050
"Aromatic L-Aminoacid Decarboxylase Deficiency",22,393066
"Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease",56,393032
"Temocapril Action Pathway",10,393078
"Telmisartan Action Pathway",11,393077
"Penbutolol Pathway",68,393020
"Levobunolol Action Pathway",68,393020
"Pirenzepine Pathway",23,393065
"Spectinomycin Pathway",20,393068
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)",41,393047
"Cerebrotendinous Xanthomatosis (CTX)",80,393008
"Amiodarone Action Pathway",68,393020
"Tyrosine hydroxylase deficiency",22,393066
"Rabeprazole Pathway",24,393064
"Mevalonic aciduria",67,393021
"Oxprenolol Pathway",68,393020
"Bevacizumab Pathway",3,393085
"Amino Sugar Metabolism",50,393038
"Hydroflumethiazide Pathway",42,393046
"Corticosterone methyl oxidase II deficiency - CMO II",54,393034
"Non Ketotic Hyperglycinemia",81,393007
"Long chain acyl-CoA dehydrogenase deficiency (LCAD)",56,393032
"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)",81,393007
"Cyclophosphamide Pathway",27,393061
"Methylmalonic Aciduria",89,392999
"Mexiletine Pathway",68,393020
"Telithromycin Pathway",20,393068
"Acebutolol Pathway",68,393020
"Anileridine Action Pathway",38,393050
"Fondaparinux Pathway",20,393068
"Ethylmalonic Encephalopathy",56,393032
"Alkaptonuria",86,393002
"Spironolactone Pathway",42,393046
"Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH",54,393034
"Trastuzumab Pathway",1,393087
"Gentamicin Pathway",20,393068
"Capecitabine Metabolism Pathway",12,393076
"Carvedilol Pathway",70,393018
"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",62,393026
"Phenindione Action Pathway",19,393069
"Morphine Metabolism Pathway",12,393076
"The oncogenic action of Fumarate",68,393020
"21-hydroxylase deficiency (CYP21)",54,393034
"Bupivacaine Pathway",38,393050
"Stavudine Action Pathway",4,393084
"Indapamide Pathway",42,393046
"Losartan Action Pathway",11,393077
"Pyruvate dehydrogenase deficiency (E3)",52,393036
"AICA-Ribosiduria",109,392979
"Salla Disease/Infantile Sialic Acid Storage Disease",49,393039
"Cystathionine Beta-Synthase Deficiency",62,393026
"2-ketoglutarate dehydrogenase complex deficiency",52,393036
"Paromomycin Action Pathway",20,393068
"Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)",26,393062
"Familial lipoprotein lipase deficiency",37,393051
"Docetaxel Pathway",12,393076
"Forasartan Action Pathway",11,393077
"Chloroprocaine Pathway",38,393050
"Xanthinuria type II",109,392979
"Tocainide Pathway",68,393020
"Vitamin K Metabolism",18,393070
"Indomethacin Pathway",94,392994
"Benazepril Metabolism Pathway",4,393084
"Salicylate-sodium Action Pathway",93,392995
"Felodipine Metabolism Pathway",4,393084
"Purine Metabolism",290,392798
"Fenoprofen Action Pathway",93,392995
"Vindesine Pathway",12,393076
"3-hydroxyisobutyric acid dehydrogenase deficiency",89,392999
"Lincomycin Action Pathway",20,393068
"Streptomycin Pathway",20,393068
"Congenital Bile Acid Synthesis Defect Type III",80,393008
"Magnesium salicylate Action Pathway",93,392995
"Glycogenosis, Type IA. Von gierke disease",56,393032
"Ifosfamide Pathway",28,393060
"Tramadol Metabolism Pathway",22,393066
"Ramipril Pathway",11,393077
"Glucose Transporter Defect (SGLT2)1",41,393047
"Clomocycline Pathway",20,393068
"Ranitidine Pathway",23,393065
"Spirapril Metabolism Pathway",4,393084
"Bromfenac Pathway",93,392995
"Citalopram Pathway",55,393033
"D-glyceric acidura",37,393051
"Pantothenate and CoA Biosynthesis",59,393029
"Phenylalanine and Tyrosine Metabolism",39,393049
