CHEM_ID,BIOCHEMICAL NAME,RI,MASS,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,INCHIKEY,SMILES,CHEMSPIDER,KEGG,HMDB,PUBCHEM,COMP_ID,CAS,PLATFORM
158,"5,6-dihydrothymine",1637.8,127.0513,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4139,NBAKTGXDIBVZOO-UHFFFAOYAR,O=C(NCC1C)NC1=O,84456,C00906,HMDB00079,93556,1418,696-04-8,LC/MS Neg
171,hypoxanthine,1291.2,135.03123,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3986,FDGQSTZJBFJUBT-UHFFFAOYAJ,O=C1C(N=CN2)=C2N=CN1,768,C00262,HMDB00157,790,3127,68-94-0,LC/MS Neg
179,"9,10-DiHOME",5180,313.23843,Lipid,"Fatty Acid, Dihydroxy",1948,XEBKSQSGNGRGDW-YFHOEESVBC,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,8142232,C14828,HMDB04704,9966640,38399,263399-34-4,LC/MS Neg
180,linoleate (18:2n6),5535,279.23295,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1499,OYHQOLUKZRVURQ-HZJYTTRNBX,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,4444105,C01595,HMDB00673,5280450,1105,60-33-3,LC/MS Neg
181,laurate (12:0),5300,199.17035,Lipid,Medium Chain Fatty Acid,1434,POULHZVOKOAJMA-UHFFFAOYAP,O=C(O)CCCCCCCCCCC,3756,C02679,HMDB00638,3893,1645,143-07-7,LC/MS Neg
182,quinolinate,845,168.02914,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4158,GJAWHXHKYYXBSV-UHFFFAOYAW,OC(C(C=CC=N1)=C1C(O)=O)=O,1037,C03722,HMDB00232,1066,1899,89-00-9,LC/MS Pos Early
189,"N6,N6,N6-trimethyllysine",2825,189.15976,Amino Acid,Lysine Metabolism,111,MXNRLFUSFKVQSK-UHFFFAOYAO,C[N+](C)(CCCCC(C([O-])=O)N)C,140379,C03793,HMDB01325,440120,1498,23284-33-5,LC/MS Pos Early
192,N-acetylputrescine,2230,131.11789,Amino Acid,Polyamine Metabolism,493,KLZGKIDSEJWEDW-UHFFFAOYAE,CC(NCCCCN)=O,109095,C02714,HMDB02064,122356,37496,18233-70-0,LC/MS Pos Early
194,N-formylmethionine,1543.8,176.03869,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",393,PYUSHNKNPOHWEZ-YFKPBYRVBS,CSCCC(C(O)=O)NC=O,388809,C03145,HMDB01015,439750,2829,4289-98-9,LC/MS Neg
197,S-adenosylhomocysteine (SAH),1832.4,383.11431,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",402,,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,16788012,C00021,HMDB00939,439155,42382,979-92-0,LC/MS Neg
208,adenosine 5'-diphosphate (ADP),680,426.02214,Nucleotide,"Purine Metabolism, Adenine containing",4003,XTWYTFMLZFPYCI-KQYNXXCUBP,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3,5800,C00008,HMDB01341,6022,3108,20398-34-9,LC/MS Neg
209,adenosine 5'-monophosphate (AMP),822,346.05581,Nucleotide,"Purine Metabolism, Adenine containing",4004,UDMBCSSLTHHNCD-RWLQFSFNBF,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,10239183,C00020,HMDB00045,6083,32342,149022-20-8,LC/MS Neg
212,5-methylthioadenosine (MTA),2752,298.09684,Amino Acid,Polyamine Metabolism,511,WUUGFSXJNOTRMR-IOSLPCCCBD,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,388321,C00170,HMDB01173,439176,1419,2457-80-9,LC/MS Pos Early
229,arachidonate (20:4n6),5535,303.23295,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1505,YZXBAPSDXZZRGB-DOFZRALJBE,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,392692,C00219,HMDB01043,444899,1110,506-32-1,LC/MS Neg
231,arginine,2825,175.11896,Amino Acid,Urea cycle; Arginine and Proline Metabolism,439,ODKSFYDXXFIFQN-UHFFFAOYAT,N=C(N)NCCCC(N)C(O)=O,227,C00062,HMDB00517,232,1638,1119-34-2,LC/MS Pos Early
234,aspartate,1165,134.04479,Amino Acid,Alanine and Aspartate Metabolism,35,CKLJMWTZIZZHCS-REOHCLBHBW,NC(C(O)=O)CC(O)=O,5745,C00049,HMDB00191,5960,443,56-84-8,LC/MS Pos Early
235,2-hydroxyphenylacetate,858.6,151.04006,Amino Acid,Phenylalanine Metabolism,150,CCVYRRGZDBSHFU-UHFFFAOYAL,OC(CC1=C(O)C=CC=C1)=O,11476,C05852,HMDB00669,11970,1432,614-75-5,LC/MS Polar
240,3-(4-hydroxyphenyl)lactate,1379,181.05063,Amino Acid,Tyrosine Metabolism,172,JVGVDSSUAVXRDY-UHFFFAOYAV,OC(C(O)=O)CC1=CC=C(O)C=C1,9010,C03672,HMDB00755,9378,32197,6482-98-0,LC/MS Neg
241,phenylpyruvate,2515,163.04007,Amino Acid,Phenylalanine Metabolism,144,BTNMPGBKDVTSJY-UHFFFAOYAU,O=C(C(O)=O)CC1=CC=CC=C1,972,C00166,HMDB00205,997,566,156-06-9,LC/MS Neg
244,beta-alanine,1905,90.05496,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4103,UCMIRNVEIXFBKS-UHFFFAOYAL,NCCC(O)=O,234,C00099,HMDB00056,239,55,56-41-7;107-95-9,LC/MS Pos Early
250,biliverdin,1016,583.25512,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4265,QBUVFDKTZJNUPP-BBROENKCBK,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,10628548,C00500,HMDB01008,5353439,2137,55482-27-4;55482-27-4,LC/MS Pos Late
252,succinate,603,117.01933,Energy,TCA Cycle,1383,KDYFGRWQOYBRFD-UHFFFAOYAC,OC(CCC(O)=O)=O,1078,C00042,HMDB00254,1110,1437,110-15-6,LC/MS Neg
254,3-hydroxybutyrate (BHBA),1268,105.05463,Lipid,Ketone Bodies,1856,WHBMMWSBFZVSSR-UHFFFAOYAO,CC(O)CC(O)=O,428,C01089,HMDB00357,441,542,625-72-9,LC/MS Pos Early
266,cholesterol,2707,369.35159,Lipid,Sterol,3076,HVYWMOMLDIMFJA-LBHVWCRMBB,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,4937803,C00187,HMDB00067,11025495,63,57-88-5,LC/MS Pos Late
267,choline phosphate,4730,228.06424,Lipid,Phospholipid Metabolism,2137,YHHSONZFOIEMCP-UHFFFAOYAD,C[N+](C)(CCOP(O)([O-])=O)C,119298,C00588,HMDB01565,1014,34396,72556-74-2,LC/MS Polar
273,cortisone,4575,359.18639,Lipid,Corticosteroids,3195,IWIJFUQFXLWZIA-UHFFFAOYAP,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,361685,C00762,HMDB02802,222786,1769,53-06-5,LC/MS Neg
275,creatinine,2055,114.06619,Amino Acid,Creatine Metabolism,484,DDRJAANPRJIHGJ-UHFFFAOYAV,CN(C(N1)=N)CC1=O,568,C00791,HMDB00562,588,513,60-27-5,LC/MS Pos Early
278,cysteinylglycine,2132,179.0485,Amino Acid,Glutathione Metabolism,531,ZUKPVRWZDMRIEO-UHFFFAOYAS,NC(C(NCC(O)=O)=O)CS,58762,C01419,HMDB00078,439498,35637,19246-18-5,LC/MS Pos Early
279,cystine,2000,241.03113,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",418,LEVWYRKDKASIDU-UHFFFAOYAA,NC(C(O)=O)CSSCC(N)C(O)=O,575,C00491,HMDB00192,67678,56,56-89-3,LC/MS Pos Early
297,sphingosine,1393,300.28971,Lipid,Sphingosines,3042,WWUZIQQURGPMPG-CCEZHUSRBL,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,4510275,C00319,HMDB00252,5353955,17747,123-78-4,LC/MS Pos Late
302,deoxycholate,1415,357.27882,Lipid,Secondary Bile Acid Metabolism,3347,KXGVEGMKQFWNSR-LLQZFEROBK,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,389318,C04483,HMDB00626,222528,1114,83-44-3,LC/MS Pos Late
309,dihydroxyacetone phosphate (DHAP),539,171.00531,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1173,GNGACRATGGDKBX-NUQVWONBAJ,OCC(COP(O)(O)=O)=O,3833110,C00111,HMDB01473,668,15522,102783-56-2,LC/MS Pos Early
310,cystathionine,2270,223.07471,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",409,ILRYLPWNYFXEMH-UHFFFAOYAH,OC(C(CCSCC(N)C(O)=O)N)=O,811,C02291,HMDB00099,439258,15705,535-34-2,LC/MS Pos Early
313,sphinganine,1413,302.30536,Lipid,Sphingolipid Synthesis,2891,OTKJDMGTUTTYMP-UHFFFAOYAS,CCCCCCCCCCCCCCCC(C(CO)N)O,3014,C00836,HMDB00269,3126,17769,3102-56-5,LC/MS Pos Late
330,fumarate,3084,115.00368,Energy,TCA Cycle,1384,VZCYOOQTPOCHFL-OWOJBTEDBF,OC(/C=C/C(O)=O)=O,10197150,C00122,HMDB00134,444972,1643,100-17-8,LC/MS Polar
331,gamma-glutamylglutamate,1775,277.10303,Peptide,Gamma-glutamyl Amino Acid,588,OWQDWQKWSLFFFR-WDSKDSINBR,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,83831,C05282,HMDB11737,92865,36738,1116-22-9,LC/MS Pos Early
338,gluconate,2922,195.05102,Xenobiotics,Food Component/Plant,4616,RGHNJXZEOKUKBD-SQOUGZDYBY,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,10240,C00257,HMDB00625,10690,587,527-07-1,LC/MS Polar
339,glutarate (C5-DC),2900,131.03498,Lipid,"Fatty Acid, Dicarboxylate",1590,JFCQEDHGNNZCLN-NUQVWONBAE,OC(CCCC(O)=O)=O,3618533,C00489,HMDB00661,743,396,110-94-1,LC/MS Polar
340,glycine,1375,76.03931,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,DHMQDGOQFOQNFH-UHFFFAOYAW,NCC(O)=O,730,C00037,HMDB00123,750,58,56-40-6,LC/MS Pos Early
342,glycocholate,5163,464.30176,Lipid,Primary Bile Acid Metabolism,3323,RFDAIACWWDREDC-FRVQLJSFBG,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,9734,C01921,HMDB00138,10140,18476,475-31-0;863-57-0,LC/MS Neg
344,guanidinoacetate,2884,116.04655,Amino Acid,Creatine Metabolism,482,BPMFZUMJYQTVII-UHFFFAOYAQ,NC(NCC(O)=O)=N,743,C00581,HMDB00128,763,43802,352-97-6,LC/MS Polar
355,histidine,755.9,154.0622,Amino Acid,Histidine Metabolism,67,HNDVDQJCIGZPNO-UHFFFAOYAG,NC(C(O)=O)CC1=CN=CN1,752,C00135,HMDB00177,6274,59,5934-29-2,LC/MS Neg
356,cortisol,4710,361.20204,Lipid,Corticosteroids,3186,JYGXADMDTFJGBT-VWUMJDOOBO,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,,C00735,HMDB00063,5754,1712,50-23-7,LC/MS Neg
358,hypotaurine,2763.4,108.01247,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",426,VVIUBCNYACGLLV-UHFFFAOYAM,NCCS(O)=O,96959,C00519,HMDB00965,107812,590,300-84-5,LC/MS Polar
361,inosine,1602.1,267.07349,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3985,UGQMRVRMYYASKQ-DGPXGRDGBU,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,21241953,C00294,HMDB00195,6021,1123,58-63-9,LC/MS Neg
363,myo-inositol,3506.3,225.06159,Lipid,Inositol Metabolism,2107,CDAISMWEOUEBRE-GPIVLXJGBG,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,10239179,C00137,HMDB00211,892,1124,87-89-8,LC/MS Polar
376,isoleucine,2800,132.10191,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",348,AGPKZVBTJJNPAG-UHFFFAOYAW,NC(C(O)=O)C(C)CC,769,C00407,HMDB00172,6306,1125,73-32-5,LC/MS Pos Early
381,2-aminoadipate,3500,160.06153,Amino Acid,Lysine Metabolism,117,OYIFNHCXNCRBQI-UHFFFAOYAC,OC(CCCC(N)C(O)=O)=O,456,C00956,HMDB00510,469,6146,542-32-5;1118-90-7,LC/MS Polar
391,citrulline,1520,176.10297,Amino Acid,Urea cycle; Arginine and Proline Metabolism,448,RHGKLRLOHDJJDR-UHFFFAOYAQ,NC(C(O)=O)CCCNC(N)=O,810,C00327,HMDB00904,9750,2132,372-75-8,LC/MS Pos Early
393,lactose,3500,387.11442,Carbohydrate,Disaccharides and Oligosaccharides,1242,GUBGYTABKSRVRQ-DCSYEGIMBP,O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O,5904,C00243,HMDB00186,84571,567,5965-66-2,LC/MS Polar
397,leucine,2864,132.10191,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",301,,O=C([C@H](CC(C)C)N)O,,,,6106,60,61-90-5,LC/MS Pos Early
407,lysine,2850,147.11281,Amino Acid,Lysine Metabolism,100,KDXKERNSBIXSRK-YFKPBYRVBE,NC(C(O)=O)CCCCN,5747,C00047,HMDB00182,5962,1301,56-87-1,LC/MS Pos Early
409,malate,615.6,133.01425,Energy,TCA Cycle,1386,BJEPYKJPYRNKOW-UHFFFAOYAM,OC(C(O)=O)CC(O)=O,510,C00149,HMDB00156,525,1303,6915-15-7,LC/MS Neg
415,methionine,2526,150.05833,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",390,FFEARJCKVFRZRR-BYPYZUCNBW,CSCCC(N)C(O)=O,5907,C00073,HMDB00696,6137,1302,63-68-3,LC/MS Pos Early
418,methylmalonate (MMA),3078.4,117.01933,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1705,ZIYVHBGGAOATLY-UHFFFAOYAT,O=C(C(C(O)=O)C)O,473,C02170,HMDB00202,487,1496,516-05-2,LC/MS Polar
424,palmitate (16:0),5618,255.23295,Lipid,Long Chain Saturated Fatty Acid,1442,IPCSVZSSVZVIGE-UHFFFAOYAJ,OC(CCCCCCCCCCCCCCC)=O,960,C00249,HMDB00220,985,1336,57-10-3,LC/MS Neg
432,nicotinamide,1942,123.05529,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4162,DFPAKSUCGFBDDF-UHFFFAOYAZ,NC(C1=CN=CC=C1)=O,911,C00153,HMDB01406,936,594,98-92-0,LC/MS Pos Early
439,stearate (18:0),5872,283.26425,Lipid,Long Chain Saturated Fatty Acid,1446,QIQXTHQIDYTFRH-UHFFFAOYAB,CCCCCCCCCCCCCCCCCC(O)=O,5091,C01530,HMDB00827,5281,1358,57-11-4,LC/MS Neg
444,ornithine,2800,133.09716,Amino Acid,Urea cycle; Arginine and Proline Metabolism,443,AHLPHDHHMVZTML-BYPYZUCNBZ,O=C(O)[C@@H](N)CCCN,6026,C00077,HMDB03374,6262,1493,3184-13-2,LC/MS Pos Early
445,orotate,1638.1,155.00983,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4071,PXQPEWDEAKTCGB-UHFFFAOYAD,O=C(C1=CC(O)=NC(O)=N1)O,942,C00295,HMDB00226,967,1505,50887-69-9,LC/MS Polar
448,"glutathione, oxidized (GSSG)",2667,307.08326,Amino Acid,Glutathione Metabolism,522,YPZRWBKMTBYPTK-BJDJZHNGBD,O=C([C@@H](NC(CC[C@@H](C(O)=O)N)=O)CSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)NCC(O)=O,58835,C00127,HMDB03337,65359,38783,103239-24-3,LC/MS Pos Early
452,palmitoleate (16:1n7),5475,253.2173,Lipid,Long Chain Monounsaturated Fatty Acid,1461,SECPZKHBENQXJG-FPLPWBNLBE,CCCCCC\C=C/CCCCCCCC(O)=O,393216,C08362,HMDB03229,445638,33447,373-49-9,LC/MS Neg
460,phenylalanine,2878,166.08626,Amino Acid,Phenylalanine Metabolism,134,COLNVLDHVKWLRT-QMMMGPOBBC,NC(C(O)=O)CC1=CC=CC=C1,5910,C00079,HMDB00159,6140,64,63-91-2,LC/MS Pos Early
461,phosphate,576,98.98418,Energy,Oxidative Phosphorylation,1401,NBIIXXVUZAFLBC-DFZHHIFOAA,O=P(O)(O)O,1032,C00009,HMDB01429,1061,42109,7664-38-2,LC/MS Pos Early
466,phytanate,5908,311.29555,Xenobiotics,Food Component/Plant,4806,RLCKHJSFHOZMDR-REWHXWOFAK,CC(CCCC(CCCC(CCCC(C)C)C)C)CC(O)=O,10140204,C01607,HMDB00801,26840,598,14721-66-5,LC/MS Neg
477,pristanate,5773,297.2799,Lipid,"Fatty Acid, Branched",1583,PAHGJZDQXIOYTH-UHFFFAOYAH,CC(C)CCCC(C)CCCC(C)CCCC(C)C(O)=O,110458,,HMDB00795,123929,38271,1189-37-3,LC/MS Neg
480,proline,1603,116.07061,Amino Acid,Urea cycle; Arginine and Proline Metabolism,451,ONIBWKKTOPOVIA-BYPYZUCNBZ,OC(C1CCCN1)=O,128566,C00148,HMDB00162,145742,1898,147-85-3,LC/MS Pos Early
482,lactate,681.6,89.02442,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1181,JVTAAEKCZFNVCJ-UHFFFAOYAX,CC(O)C(O)=O,592,C00186,HMDB00190,612,527,79-33-4,LC/MS Neg
491,pyridoxal,1534.9,166.05096,Cofactors and Vitamins,Vitamin B6 Metabolism,4304,RADKZDMFGJYCBB-UHFFFAOYAP,OC1=C(C)N=CC(CO)=C1C=O,1021,C00250,HMDB01545,1050,1651,65-22-5,LC/MS Neg
498,retinol (Vitamin A),1636,269.22639,Cofactors and Vitamins,Vitamin A Metabolism,4283,FPIPGXGPPPQFEQ-OVSJKPMPBW,C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO,393012,C00473,HMDB00305,445354,1806,68-26-8,LC/MS Pos Late
501,salicylate,802,137.02422,Xenobiotics,Drug - Topical Agents,5613,4000,OC1=C(C(O)=O)C=CC=C1,331,C00805,HMDB01895,338,1515,69-72-7,LC/MS Polar
503,serine,1239,106.04987,Amino Acid,"Glycine, Serine and Threonine Metabolism",9,MTCFGRXMJLQNBG-REOHCLBHBX,OC([C@@H](N)CO)=O,5736,C00065,HMDB00187,5951,1648,56-45-1,LC/MS Pos Early
504,serotonin,2550,177.10224,Amino Acid,Tryptophan Metabolism,272,QZAYGJVTTNCVMB-UHFFFAOYAX,NCCC1=CNC(C=C2)=C1C=C2O,5013,C00780,HMDB00259,5202,2342,153-98-0,LC/MS Pos Early
507,spermine,3350,203.22303,Amino Acid,Polyamine Metabolism,507,PFNFFQXMRSDOHW-UHFFFAOYAC,NCCCNCCCCNCCCN,1072,C00750,HMDB01256,1103,603,71-44-3,LC/MS Pos Early
512,taurine,660,126.02195,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",427,XOAAWQZATWQOTB-UHFFFAOYAA,NCCS(=O)(O)=O,1091,C00245,HMDB00251,1123,2125,107-35-7,LC/MS Pos Early
519,myristate (14:0),5440,227.20165,Lipid,Long Chain Saturated Fatty Acid,1439,TUNFSRHWOTWDNC-UHFFFAOYAZ,OC(CCCCCCCCCCCCC)=O,10539,C06424,HMDB00806,11005,1365,544-63-8,LC/MS Neg
533,urea,700,121.07201,Amino Acid,Urea cycle; Arginine and Proline Metabolism,441,XSQUKJJJFZCRTK-UHFFFAOYAF,O=C(N)N,1143,C00086,HMDB00294,1176,1670,57-13-6,LC/MS Pos Early
535,uridine,1457.6,243.06226,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4083,DRTQHJPVMGBUCF-XVFCMESIBG,OC1C(N(C=CC2=O)C(N2)=O)OC(CO)C1O,5807,C00299,HMDB00296,6029,606,58-96-8,LC/MS Neg
536,2'-deoxyuridine,1100,273.07281,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4099,MXHRCPNRJAMMIM-SHYZEUOFBK,O=C(NC1=O)N(C=C1)C(CC2O)OC2CO,13118,C00526,HMDB00012,13712,1412,951-78-0,LC/MS Polar
537,trans-urocanate,1882.5,137.03565,Amino Acid,Histidine Metabolism,74,LOIYMIARKYCTBW-OWOJBTEDBA,O=C(O)/C=C/C1=CNC=N1,643824,C00785,HMDB00301,736715,607,104-98-3,LC/MS Polar
561,glutamate,1500,148.06044,Amino Acid,Glutamate Metabolism,42,WHUUTDBJXJRKMK-UHFFFAOYAD,O=C(O)[C@@H](N)CCC(O)=O,591,C00025,HMDB00148,611,57,56-86-0,LC/MS Pos Early
563,glutamine,1291,147.07642,Amino Acid,Glutamate Metabolism,43,ZDXPYRJPNDTMRX-VKHMYHEABV,OC([C@@H](N)CCC(N)=O)=O,5746,C00064,HMDB00641,5961,53,56-85-9,LC/MS Pos Early
564,threonine,1514,120.06552,Amino Acid,"Glycine, Serine and Threonine Metabolism",16,AYFVYJQAPQTCCC-GBXIJSLDBG,N[C@H](C(O)=O)[C@H](O)C,6051,C00188,HMDB00167,6288,1284,72-19-5,LC/MS Pos Early
565,tryptophan,2986,205.09716,Amino Acid,Tryptophan Metabolism,241,QIVBCDIJIAJPQS-VIFPVBQEBP,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2,6066,C00078,HMDB00929,6305,54,73-22-3,LC/MS Pos Early
566,valine,909.4,116.0717,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",373,KZSNJWFQEVHDMF-BYPYZUCNBW,N[C@H](C(O)=O)C(C)C,6050,C00183,HMDB00883,6287,1649,72-18-4,LC/MS Neg
572,glucose,2342,225.06159,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1164,WQZGKKKJIJFFOK-DVKNGEFBBQ,O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,71358,C00031,HMDB00122,5793,48152,50-99-7,LC/MS Polar
796,alpha-ketobutyrate,940,101.02442,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",410,TYEYBOSBBBHJIV-REWHXWOFAN,OC(C(CC)=O)=O,2829426,C00109,HMDB00005,58,4968,600-18-0,LC/MS Polar
799,betaine,1064,118.08626,Amino Acid,"Glycine, Serine and Threonine Metabolism",6,KWIUHFFTVRNATP-UHFFFAOYAI,O=C(C[N+](C)(C)C)[O-],"242,19951173",C00719,HMDB00043,247,3141,107-43-7,LC/MS Pos Early
800,cysteine,1475,122.02703,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",411,XUJNEKJLAYXESH-REOHCLBHBU,SC[C@H](N)C(O)=O,5653,C00097,HMDB00574,5862,1868,52-90-4;56-89-3,LC/MS Pos Early
803,mannose,2200,225.06159,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1290,GZCGUPFRVQAUEE-KVTDHHQDBB,O[C@@H]1C(CO)O[C@@H](O)[C@@H](O)[C@H]1O,141983,C00159,HMDB00169,18950,48153,3458-28-4,LC/MS Polar
