CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,,HMDB,PUBCHEM,CHEMSPIDER,KEGG,CAS,PRIMARY_ID
172,400,32352,155912,Nucleotide,"Purine Metabolism, Guanine containing",4184,NAMED,UYTPUPDQBNUYGX-UHFFFAOYSA-N,NC(N1)=NC2=C(NC=N2)C1=O,guanine,guanine,,HMDB0000132,pubchem:135398634,chemspider:744,kegg:C00242,CAS:73-40-5,HMDB0000132
179,209,38399,143740,Lipid,"Fatty Acid, Dihydroxy",2032,NAMED,XEBKSQSGNGRGDW-YFHOEESVSA-N,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,"9,10-DiHOME","9,10-DiHOME",,HMDB0004704,pubchem:9966640,chemspider:8142232,kegg:C14828,CAS:263399-34-4,HMDB0004704
180,209,1105,125969,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1568,NAMED,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),,"HMDB0006270,HMDB0000673",pubchem:5280450,chemspider:4444105,kegg:C01595,CAS:60-33-3,HMDB0006270
181,209,1645,125740,Lipid,Medium Chain Fatty Acid,1503,NAMED,POULHZVOKOAJMA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC,laurate (12:0),laurate (12:0),,HMDB0000638,pubchem:3893,chemspider:3756,kegg:C02679,CAS:143-07-7,HMDB0000638
182,400,1899,155456,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4301,NAMED,GJAWHXHKYYXBSV-UHFFFAOYSA-N,OC(C(C=CC=N1)=C1C(O)=O)=O,quinolinate,quinolinate,,HMDB0000232,pubchem:1066,chemspider:1037,kegg:C03722,CAS:89-00-9,HMDB0000232
189,400,1498,155380,Amino Acid,Lysine Metabolism,116,NAMED,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",,HMDB0001325,pubchem:440120,chemspider:140379,kegg:C03793,CAS:23284-33-5,HMDB0001325
192,400,37496,156406,Amino Acid,Polyamine Metabolism,538,NAMED,KLZGKIDSEJWEDW-UHFFFAOYSA-N,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,,HMDB0002064,pubchem:122356,chemspider:109095,kegg:C02714,CAS:18233-70-0,HMDB0002064
194,209,2829,124831,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",437,NAMED,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,,HMDB0001015,pubchem:439750,chemspider:388809,kegg:C03145,CAS:4289-98-9,HMDB0001015
197,209,42382,124939,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,NAMED,ZJUKTBDSGOFHSH-UHFFFAOYSA-N,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),,HMDB0000939,pubchem:439155,chemspider:16788012,kegg:C00021,CAS:979-92-0,HMDB0000939
207,209,2831,123233,Nucleotide,"Purine Metabolism, Adenine containing",4143,NAMED,IVOMOUWHDPKRLL-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(CO4)C(OP4(O)=O)C3O,"adenosine 3',5'-cyclic monophosphate (cAMP)","adenosine 3',5'-cyclic monophosphate (cAMP)",,HMDB0000058,pubchem:6076,chemspider:268,kegg:C00575,CAS:60-92-4,HMDB0000058
209,400,32342,155907,Nucleotide,"Purine Metabolism, Adenine containing",4140,NAMED,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,,HMDB0000045,pubchem:6083,chemspider:10239183,kegg:C00020,CAS:149022-20-8,HMDB0000045
212,400,1419,155365,Amino Acid,Polyamine Metabolism,556,NAMED,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),,HMDB0001173,pubchem:439176,chemspider:388321,kegg:C00170,CAS:2457-80-9,HMDB0001173
213,209,37114,127643,Nucleotide,"Purine Metabolism, Adenine containing",4155,NAMED,VQAYFKKCNSOZKM-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,N6-methyladenosine,N6-methyladenosine,,HMDB0004044,pubchem:102175,chemspider:92307,,CAS:1867-73-8,HMDB0004044
229,209,1110,125971,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1574,NAMED,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),,HMDB0001043,pubchem:444899,chemspider:392692,kegg:C00219,CAS:506-32-1,HMDB0001043
231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,NAMED,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,,HMDB0000517,pubchem:6322,chemspider:227,kegg:C00062,CAS:1119-34-2,HMDB0000517
234,400,443,155304,Amino Acid,Alanine and Aspartate Metabolism,36,NAMED,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(C(O)=O)CC(O)=O,aspartate,aspartate,,HMDB0000191,pubchem:5960,chemspider:5745,kegg:C00049,CAS:56-84-8,HMDB0000191
235,305,1432,145724,Amino Acid,Phenylalanine Metabolism,156,NAMED,CCVYRRGZDBSHFU-UHFFFAOYSA-N,OC(CC1=C(O)C=CC=C1)=O,2-hydroxyphenylacetate,2-hydroxyphenylacetate,,HMDB0000669,pubchem:11970,chemspider:11476,kegg:C05852,CAS:614-75-5,HMDB0000669
240,209,32197,123321,Amino Acid,Tyrosine Metabolism,181,NAMED,JVGVDSSUAVXRDY-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),,HMDB0000755,pubchem:9378,chemspider:9010,kegg:C03672,CAS:6482-98-0,HMDB0000755
241,209,566,124529,Amino Acid,Phenylalanine Metabolism,150,NAMED,BTNMPGBKDVTSJY-UHFFFAOYSA-N,O=C(C(O)=O)CC1=CC=CC=C1,phenylpyruvate,phenylpyruvate,,HMDB0000205,pubchem:997,chemspider:972,kegg:C00166,CAS:156-06-9,HMDB0000205
244,400,55,155295,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4240,NAMED,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,beta-alanine,beta-alanine,,HMDB0000056,pubchem:239,chemspider:234,kegg:C00099,"CAS:107-95-9,56-41-7",HMDB0000056
249,400,1768,155446,Amino Acid,Histidine Metabolism,84,NAMED,CQOVPNPJLQNMDC-ZETCQYMHSA-N,OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O,carnosine,carnosine,,HMDB0000033,pubchem:439224,chemspider:388363,kegg:C00386,CAS:305-84-0,HMDB0000033
250,402,2137,158009,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4412,NAMED,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,,HMDB0001008,pubchem:5280353,chemspider:10628548,kegg:C00500,"CAS:55482-27-4,55482-27-4",HMDB0001008
251,400,568,155324,Cofactors and Vitamins,Biotin Metabolism,4385,NAMED,YBJHBAHKTGYVGT-UHFFFAOYSA-N,OC(CCCCC(SC1)C(N2)C1NC2=O)=O,biotin,biotin,,HMDB0000030,pubchem:171548,chemspider:149962,kegg:C00120,CAS:58-85-5,HMDB0000030
252,305,1437,147106,Energy,TCA Cycle,1449,NAMED,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(CCC(O)=O)=O,succinate,succinate,,HMDB0000254,pubchem:1110,chemspider:1078,kegg:C00042,CAS:110-15-6,HMDB0000254
254,305,542,145710,Lipid,Ketone Bodies,1939,NAMED,WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),,"HMDB0000442,HMDB0000357,HMDB0000011","pubchem:94318,441,92135",chemspider:428,"kegg:C03197,C01089",CAS:625-72-9,HMDB0000442
264,402,1099,161403,Lipid,Sterol,3196,NAMED,UCTLRSWJYQTBFZ-UHFFFAOYSA-N,CC12C(C3=CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CCCC(C)C,7-dehydrocholesterol,7-dehydrocholesterol,,HMDB0000032,pubchem:439423,chemspider:388534,kegg:C01164,CAS:434-16-2,HMDB0000032
266,402,63,164177,Lipid,Sterol,3193,NAMED,HVYWMOMLDIMFJA-LBHVWCRMSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,cholesterol,cholesterol,,HMDB0000067,"pubchem:5997,6432564,11025495",chemspider:4937803,kegg:C00187,CAS:57-88-5,HMDB0000067
267,400,34396,156099,Lipid,Phospholipid Metabolism,2234,NAMED,YHHSONZFOIEMCP-UHFFFAOYSA-N,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,,HMDB0001565,pubchem:1014,chemspider:119298,kegg:C00588,CAS:72556-74-2,HMDB0001565
272,209,5983,126005,Lipid,Corticosteroids,3298,NAMED,OMFXVFTZEKFJBZ-UHFFFAOYSA-N,CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O,corticosterone,corticosterone,,HMDB0001547,pubchem:5753,chemspider:5550,kegg:C02140,CAS:50-22-6,HMDB0001547
273,209,1769,124819,Lipid,Corticosteroids,3316,NAMED,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,cortisone,cortisone,,HMDB0002802,pubchem:222786,chemspider:361685,kegg:C00762,CAS:53-06-5,HMDB0002802
275,400,513,155307,Amino Acid,Creatine Metabolism,529,NAMED,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN(C(N1)=N)CC1=O,creatinine,creatinine,,HMDB0000562,pubchem:588,chemspider:568,kegg:C00791,CAS:60-27-5,HMDB0000562
278,400,35637,156206,Amino Acid,Glutathione Metabolism,576,NAMED,ZUKPVRWZDMRIEO-UHFFFAOYSA-N,NC(C(NCC(O)=O)=O)CS,cysteinylglycine,cysteinylglycine,,HMDB0000078,pubchem:439498,chemspider:58762,kegg:C01419,CAS:19246-18-5,HMDB0000078
279,400,56,155296,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",462,NAMED,LEVWYRKDKASIDU-UHFFFAOYSA-N,NC(C(O)=O)CSSCC(N)C(O)=O,cystine,cystine,,HMDB0000192,pubchem:67678,chemspider:575,kegg:C00491,CAS:56-89-3,HMDB0000192
297,402,17747,158164,Lipid,Sphingosines,3160,NAMED,WWUZIQQURGPMPG-CCEZHUSRSA-N,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,sphingosine,sphingosine,,HMDB0000252,pubchem:5280335,chemspider:4510275,kegg:C00319,CAS:123-78-4,HMDB0000252
302,402,1114,161304,Lipid,Secondary Bile Acid Metabolism,3480,NAMED,KXGVEGMKQFWNSR-OHAQSFBXSA-N,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,,HMDB0000626,"pubchem:222528,440355",chemspider:389318,kegg:C04483,CAS:83-44-3,HMDB0000626
310,400,15705,155581,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",453,NAMED,ILRYLPWNYFXEMH-UHFFFAOYSA-N,OC(C(CCSCC(N)C(O)=O)N)=O,cystathionine,cystathionine,,HMDB0000099,pubchem:439258,chemspider:811,kegg:C02291,CAS:535-34-2,HMDB0000099
313,402,17769,158166,Lipid,Sphingolipid Synthesis,3001,NAMED,OTKJDMGTUTTYMP-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,,HMDB0000269,pubchem:3126,chemspider:3014,kegg:C00836,CAS:3102-56-5,HMDB0000269
330,305,1643,146876,Energy,TCA Cycle,1450,NAMED,VZCYOOQTPOCHFL-OWOJBTEDSA-N,OC(/C=C/C(O)=O)=O,fumarate,fumarate,,HMDB0000134,pubchem:444972,chemspider:10197150,kegg:C00122,CAS:100-17-8,HMDB0000134
331,400,36738,156248,Peptide,Gamma-glutamyl Amino Acid,634,NAMED,OWQDWQKWSLFFFR-UHFFFAOYSA-N,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,,HMDB0011737,pubchem:92865,chemspider:83831,kegg:C05282,CAS:1116-22-9,HMDB0011737
338,305,587,147098,Xenobiotics,Food Component/Plant,4806,NAMED,RGHNJXZEOKUKBD-SQOUGZDYSA-N,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,,HMDB0000625,"pubchem:10690,3085666",chemspider:10240,kegg:C00257,CAS:527-07-1,HMDB0000625
339,305,396,146390,Lipid,"Fatty Acid, Dicarboxylate",1660,NAMED,JFCQEDHGNNZCLN-UHFFFAOYSA-N,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),,HMDB0000661,"pubchem:743,4418048",chemspider:3618533,kegg:C00489,CAS:110-94-1,HMDB0000661
340,400,58,160611,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,NAMED,DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(O)=O,glycine,glycine,,HMDB0000123,pubchem:750,chemspider:730,kegg:C00037,CAS:56-40-6,HMDB0000123
342,209,18476,126842,Lipid,Primary Bile Acid Metabolism,3455,NAMED,RFDAIACWWDREDC-FRVQLJSFSA-N,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,glycocholate,glycocholate,,HMDB0000138,pubchem:10140,chemspider:9734,kegg:C01921,"CAS:475-31-0,863-57-0",HMDB0000138
344,305,43802,147630,Amino Acid,Creatine Metabolism,527,NAMED,BPMFZUMJYQTVII-UHFFFAOYSA-N,NC(NCC(O)=O)=N,guanidinoacetate,guanidinoacetate,,HMDB0000128,pubchem:763,chemspider:743,kegg:C00581,CAS:352-97-6,HMDB0000128
355,209,59,123153,Amino Acid,Histidine Metabolism,70,NAMED,HNDVDQJCIGZPNO-UHFFFAOYSA-N,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,,HMDB0000177,pubchem:6274,chemspider:752,kegg:C00135,CAS:5934-29-2,HMDB0000177
356,209,1712,124815,Lipid,Corticosteroids,3306,NAMED,JYGXADMDTFJGBT-VWUMJDOOSA-N,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,cortisol,cortisol,,HMDB0000063,pubchem:5754,,kegg:C00735,CAS:50-23-7,HMDB0000063
358,305,590,146416,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",470,NAMED,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,hypotaurine,hypotaurine,,HMDB0000965,pubchem:107812,chemspider:96959,kegg:C00519,CAS:300-84-5,HMDB0000965
361,209,1123,123191,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4120,NAMED,UGQMRVRMYYASKQ-KQYNXXCUSA-N,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,,HMDB0000195,pubchem:6021,chemspider:21241953,kegg:C00294,CAS:58-63-9,HMDB0000195
362,400,2133,155461,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4119,NAMED,GRSZFWQUAKGDAV-UHFFFAOYSA-N,OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O,inosine 5'-monophosphate (IMP),inosine 5'-monophosphate (IMP),,HMDB0000175,pubchem:8582,chemspider:5482599,kegg:C00130,CAS:4691-65-0,HMDB0000175
363,305,1124,145716,Lipid,Inositol Metabolism,2202,NAMED,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,,HMDB0000211,pubchem:892,chemspider:10239179,kegg:C00137,CAS:87-89-8,HMDB0000211
376,400,1125,155350,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",385,NAMED,AGPKZVBTJJNPAG-UHFFFAOYSA-N,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,,HMDB0000172,pubchem:6306,chemspider:769,"kegg:C06418,C00407,C16424",CAS:73-32-5,HMDB0000172
381,305,6146,147948,Amino Acid,Lysine Metabolism,123,NAMED,OYIFNHCXNCRBQI-UHFFFAOYSA-N,OC(CCCC(N)C(O)=O)=O,2-aminoadipate,2-aminoadipate,,HMDB0000510,pubchem:92136,chemspider:456,kegg:C00956,"CAS:1118-90-7,542-32-5",HMDB0000510
391,400,2132,155460,Amino Acid,Urea cycle; Arginine and Proline Metabolism,492,NAMED,RHGKLRLOHDJJDR-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(N)=O,citrulline,citrulline,,HMDB0000904,pubchem:9750,chemspider:810,kegg:C00327,CAS:372-75-8,HMDB0000904
393,305,567,147468,Carbohydrate,Disaccharides and Oligosaccharides,1305,NAMED,GUBGYTABKSRVRQ-DCSYEGIMSA-N,O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O,lactose,lactose,,HMDB0041627,pubchem:6134,chemspider:5904,kegg:C01970,CAS:5965-66-2,HMDB0041627
397,400,60,155300,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",332,NAMED,ROHFNLRQFUQHCH-YFKPBYRVSA-N,O=C([C@H](CC(C)C)N)O,leucine,leucine,,HMDB0000687,pubchem:6106,,kegg:C00123,CAS:61-90-5,HMDB0000687
407,400,1301,155354,Amino Acid,Lysine Metabolism,105,NAMED,KDXKERNSBIXSRK-UHFFFAOYSA-N,NC(C(O)=O)CCCCN,lysine,lysine,,HMDB0003405,pubchem:5962,chemspider:5747,"kegg:C00739,C00047",CAS:56-87-1,HMDB0003405
409,209,1303,123199,Energy,TCA Cycle,1452,NAMED,BJEPYKJPYRNKOW-UHFFFAOYSA-N,OC(C(O)=O)CC(O)=O,malate,malate,,"HMDB0031518,HMDB0000156,HMDB0000744",pubchem:525,chemspider:510,"kegg:C00149,C00711,C00497",CAS:6915-15-7,HMDB0031518
413,209,1581,164709,Amino Acid,Tryptophan Metabolism,291,NAMED,DRLFMBDRBRZALE-UHFFFAOYSA-N,COC(C=C1)=CC2=C1NC=C2CCNC(C)=O,melatonin,melatonin,,HMDB0001389,pubchem:896,chemspider:872,"kegg:D08170,C01598",CAS:73-31-4,HMDB0001389
415,400,1302,155355,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",434,NAMED,FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(O)=O,methionine,methionine,,HMDB0000696,pubchem:6137,chemspider:5907,kegg:C00073,CAS:63-68-3,HMDB0000696
418,305,1496,145730,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1775,NAMED,ZIYVHBGGAOATLY-UHFFFAOYSA-N,O=C(C(C(O)=O)C)O,methylmalonate (MMA),methylmalonate (MMA),,HMDB0000202,pubchem:487,chemspider:473,kegg:C02170,CAS:516-05-2,HMDB0000202
424,209,1336,125720,Lipid,Long Chain Saturated Fatty Acid,1511,NAMED,IPCSVZSSVZVIGE-UHFFFAOYSA-N,OC(CCCCCCCCCCCCCCC)=O,palmitate (16:0),palmitate (16:0),,HMDB0000220,pubchem:985,chemspider:960,kegg:C00249,CAS:57-10-3,HMDB0000220
432,400,594,155332,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4305,NAMED,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NC(C1=CN=CC=C1)=O,nicotinamide,nicotinamide,,HMDB0001406,pubchem:936,chemspider:911,kegg:C00153,CAS:98-92-0,HMDB0001406
439,209,1358,125724,Lipid,Long Chain Saturated Fatty Acid,1515,NAMED,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(O)=O,stearate (18:0),stearate (18:0),,HMDB0000827,pubchem:5281,chemspider:5091,kegg:C01530,CAS:57-11-4,HMDB0000827
444,400,1493,155375,Amino Acid,Urea cycle; Arginine and Proline Metabolism,487,NAMED,AHLPHDHHMVZTML-BYPYZUCNSA-N,O=C(O)[C@@H](N)CCCN,ornithine,ornithine,,HMDB0000214,pubchem:6262,chemspider:6026,kegg:C00077,CAS:3184-13-2,HMDB0000214
