name,Metabolite,method,superClass,mainClass,subClass,hmdbId,chebiId,pubChemId,smiles,inChI,inChIKey,CompoundHMDB,chemicalFormula,formulaAdduct(dontuse),LinkedCompounds,adduct,MZ,MZ source
PC 35:1,,CP,,,,,,,,,,,,,,,,Provided
PC 35:2,,CP,,,,,,,,,,,,,,,,Provided
PC 35:4,,CP,,,,,,,,,,,,,,,,Provided
PC 36:6,,CP,,,,,,,,,,,,,,,,Provided
PC 37:1,,CP,,,,,,,,,,,,,,,,Provided
PC 37:2,,CP,,,,,,,,,,,,,,,,Provided
PC 37:4,,CP,,,,,,,,,,,,,,,,Provided
PC 38:1,,CP,,,,,,,,,,,,,,,,Provided
PC 39:6,,CP,,,,,,,,,,,,,,,,Provided
PC 40:7,,CP,,,,,,,,,,,,,,,,Provided
PC 42:2,,CP,,,,,,,,,,,,,,,,Provided
PC 42:6,,CP,,,,,,,,,,,,,,,,Provided
PC 44:4,,CP,,,,,,,,,,,,,,,,Provided
PC O-31:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-32:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-32:1,,CP,,,,,,,,,,,,,,,,Provided
PC O-33:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-33:1,,CP,,,,,,,,,,,,,,,,Provided
PC O-34:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-36:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-36:2,,CP,,,,,,,,,,,,,,,,Provided
PC O-38:0,,CP,,,,,,,,,,,,,,,,Provided
PC O-38:3,,CP,,,,,,,,,,,,,,,,Provided
PC O-38:4,,CP,,,,,,,,,,,,,,,,Provided
PC O-38:5,,CP,,,,,,,,,,,,,,,,Provided
PC O-40:4,,CP,,,,,,,,,,,,,,,,Provided
PC O-40:5,,CP,,,,,,,,,,,,,,,,Provided
PC O-40:6,,CP,,,,,,,,,,,,,,,,Provided
PC O-40:7,,CP,,,,,,,,,,,,,,,,Provided
PC O-42:2,,CP,,,,,,,,,,,,,,,,Provided
PC O-42:4,,CP,,,,,,,,,,,,,,,,Provided
PC O-42:5,,CP,,,,,,,,,,,,,,,,Provided
PC O-42:6,,CP,,,,,,,,,,,,,,,,Provided
PC O-44:4,,CP,,,,,,,,,,,,,,,,Provided
PC O-44:5,,CP,,,,,,,,,,,,,,,,Provided
PC O-44:6,,CP,,,,,,,,,,,,,,,,Provided
PE 38:3,,CP,,,,,,,,,,,,,,,,Provided
PE 40:5,,CP,,,,,,,,,,,,,,,,Provided
PE O-36:2,,CP,,,,,,,,,,,,,,,,Provided
PE O-36:3,,CP,,,,,,,,,,,,,,,,Provided
PE O-38:5,,CP,,,,,,,,,,,,,,,,Provided
PE O-40:5,,CP,,,,,,,,,,,,,,,,Provided
PE O-40:6,,CP,,,,,,,,,,,,,,,,Provided
PE O-42:0,,CP,,,,,,,,,,,,,,,,Provided
SM 32:0;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 32:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 33:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 34:0;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 35:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 35:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 36:0;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 36:3;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 38:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 39:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 39:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 40:3;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 41:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 41:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 42:4;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 43:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 43:2;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 44:1;O2,,CP,,,,,,,,,,,,,,,,Provided
SM 44:2;O2,,CP,,,,,,,,,,,,,,,,Provided
TG 40:0,,CP,,,,,,,,,,,,,,,,Provided
TG 40:1,,CP,,,,,,,,,,,,,,,,Provided
TG 42:1,,CP,,,,,,,,,,,,,,,,Provided
TG 42:2,,CP,,,,,,,,,,,,,,,,Provided
TG 44:3,,CP,,,,,,,,,,,,,,,,Provided
TG 47:3,,CP,,,,,,,,,,,,,,,,Provided
TG 49:4,,CP,,,,,,,,,,,,,,,,Provided
TG 51:4,,CP,,,,,,,,,,,,,,,,Provided
TG 51:5,,CP,,,,,,,,,,,,,,,,Provided
TG 53:1,,CP,,,,,,,,,,,,,,,,Provided
TG 53:4,,CP,,,,,,,,,,,,,,,,Provided
TG 53:5,,CP,,,,,,,,,,,,,,,,Provided
TG 55:4,,CP,,,,,,,,,,,,,,,,Provided
TG 55:5,,CP,,,,,,,,,,,,,,,,Provided
TG 55:6,,CP,,,,,,,,,,,,,,,,Provided
TG 55:7,,CP,,,,,,,,,,,,,,,,Provided
TG 57:7,,CP,,,,,,,,,,,,,,,,Provided
TG 57:8,,CP,,,,,,,,,,,,,,,,Provided
TG 57:9,,CP,,,,,,,,,,,,,,,,Provided
TG 58:2,,CP,,,,,,,,,,,,,,,,Provided
TG 58:3,,CP,,,,,,,,,,,,,,,,Provided
TG 58:4,,CP,,,,,,,,,,,,,,,,Provided
TG 58:5,,CP,,,,,,,,,,,,,,,,Provided
TG 60:3,,CP,,,,,,,,,,,,,,,,Provided
TG 62:12,,CP,,,,,,,,,,,,,,,,Provided
TG 62:13,,CP,,,,,,,,,,,,,,,,Provided
15R-15-methyl PGA2,15R-15-methyl PGA2 [iSTD],CN,,,,,,,CCCCCC(C)(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O,O=C1[C@H](C/C=C\CCCC(O)=O)[C@@H](/C=C/[C@](C)(O)CCCCC)C=C1,UEBXYYKXJUBAJX-ULDSDQABSA-N,,C21H32O4,[M],mxp1436 ,[M-H]-,347.2227836,Calculated
15R-15-methyl PGF2a,15R-15-methyl PGF2a [iSTD],CN,,,,,,,CCCCCC(C)(C=CC1C(CC(C1CC=CCCCC(=O)O)O)O)O,O[C@@H]1C(C/C=C\CCCC(O)=O)[C@@H](/C=C/[C@](C)(O)CCCCC)[C@H](O)C1,DLJKPYFALUEJCK-YLFQPMNTSA-N,,C21H36O5,[M],mxp1434 ,[M-H]-,367.2489986,Calculated
15S-15-methyl PGD2,15S-15-methyl PGD2 [iSTD],CN,,,,,,,CCCCCC(C)(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O,CCCCC[C@](C)(O)\C=C\[C@H]1C(=O)CC(O)C1C/C=C\CCCC(=O)O,CTXLUMAOXBULOZ-QEQARHSSSA-N,,C21H34O5,[M],mxp1435 ,[M-H]-,365.2333486,Calculated
15S-15-methyl PGE1,15S-15-methyl PGE1 [iSTD],CN,,,,,,,CCCCCC(C)(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,CCCCC[C@](C)(O)\C=C\[C@H]1C(O)CC(=O)C1CCCCCCC(=O)O,OMNFCPCBKCERJP-FVGPFBTLSA-N,,C21H36O5,[M],mxp1437 ,[M-H]-,367.2489986,Calculated
15S-15-methyl PGE2,15S-15-methyl PGE2 [iSTD],CN,,,,,,,O[C@H]1[C@H](/C=C/[C@](O)(C)CCCCC)[C@@H](C/C=C\CCCC(O)=O)C(C1)=O,O[C@H]1[C@H](/C=C/[C@](O)(C)CCCCC)[C@@H](C/C=C\CCCC(O)=O)C(C1)=O,,,C21H34O5,[M],mxp1438 ,[M-H]-,365.2333486,Calculated
CE 14:0,CE 14:0,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006725,CHEBI:84304,99486,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCCCCCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C41H72O2/c1-7-8-9-10-11-12-13-14-15-16-17-21-39(42)43-34-26-28-40(5)33(30-34)22-23-35-37-25-24-36(32(4)20-18-19-31(2)3)41(37,6)29-27-38(35)40/h22,31-32,34-38H,7-21,23-30H2,1-6H3/t32-,34+,35+,36-,37+,38+,40+,41-/m1/s1",SJDMTGSQPOFVLR-ZPQCIJQQSA-N,,C41H72O2,[M],mxp0488-sc ,[M+Na]+,619.5424514,Calculated
CE 16:0,CE 16:0,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0000885,CHEBI:3663,246520,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C43H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-23-41(44)45-36-28-30-42(5)35(32-36)24-25-37-39-27-26-38(34(4)22-20-21-33(2)3)43(39,6)31-29-40(37)42/h24,33-34,36-40H,7-23,25-32H2,1-6H3/t34-,36+,37+,38-,39+,40+,42+,43-/m1/s1",BBJQPKLGPMQWBU-JADYGXMDSA-N,,C43H76O2,[M],mxp0490-sc ,[M+Na]+,647.5737514,Calculated
CE 16:1,CE 16:1,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0000658,CHEBI:84323,,CCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,"InChI=1S/C43H74O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-23-41(44)45-36-28-30-42(5)35(32-36)24-25-37-39-27-26-38(34(4)22-20-21-33(2)3)43(39,6)31-29-40(37)42/h12-13,24,33-34,36-40H,7-11,14-23,25-32H2,1-6H3/b13-12-/t34-,36+,37+,38-,39+,40+,42+,43-/m1/s1",,,C43H74O2,[M],mxp0489-sc ,[M+Na]+,645.5581014,Calculated
CE 18:0,CE 18:0,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0010368,CHEBI:82750,118246,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCCCCCCCCCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C45H80O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h26,35-36,38-42H,7-25,27-34H2,1-6H3/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1",XHRPOTDGOASDJS-XNTGVSEISA-N,,C45H80O2,[M],mxp0494-sc ,[M+Na]+,675.6050514,Calculated
CE 18:1,CE 18:1,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0000918,CHEBI:46898,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCC/C=C\CCCCCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C45H78O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h14-15,26,35-36,38-42H,7-13,16-25,27-34H2,1-6H3/b15-14-/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1",,,C45H78O2,[M],mxp2905-sc ,[M+Na]+,673.5894014,Calculated
CE 18:2,CE 18:2,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0000610,CHEBI:41509,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C45H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h11-12,14-15,26,35-36,38-42H,7-10,13,16-25,27-34H2,1-6H3/b12-11-,15-14-/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1",,,C45H76O2,[M],mxp0492-sc ,[M+Na]+,671.5737514,Calculated
CE 18:3,CE 18:3,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0010370,CHEBI:84341,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C45H74O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h8-9,11-12,14-15,26,35-36,38-42H,7,10,13,16-25,27-34H2,1-6H3/b9-8-,12-11-,15-14-/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1",,,C45H74O2,[M],mxp0491-sc ,[M+Na]+,669.5581014,Calculated
CE 20:3,CE 20:3,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006736,CHEBI:84346,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C47H78O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-27-45(48)49-40-32-34-46(5)39(36-40)28-29-41-43-31-30-42(38(4)26-24-25-37(2)3)47(43,6)35-33-44(41)46/h11-12,14-15,17-18,28,37-38,40-44H,7-10,13,16,19-27,29-36H2,1-6H3/b12-11-,15-14-,18-17-/t38-,40+,41+,42-,43+,44+,46+,47-/m1/s1",,,C47H78O2,[M],mxp0497-sc ,[M+Na]+,697.5894014,Calculated
CE 20:4,CE 20:4,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006726,,,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1,,,,C47H76O2,[M],mxp0496-sc ,[M+Na]+,695.5737514,Calculated
CE 20:5,CE 20:5,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006731,,,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C,,,,C47H74O2,[M],mxp0495-sc ,[M+Na]+,693.5581014,Calculated
CE 22:4,CE 22:4,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006729,,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC |&1:6,8,11,12,17,20,22,25|",CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1,,,C49H80O2,[M],mxp0500-sc ,[M+Na]+,723.6050514,Calculated
CE 22:5,CE 22:5,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0010375,CHEBI:73910,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C49H78O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-47(50)51-42-34-36-48(5)41(38-42)30-31-43-45-33-32-44(40(4)28-26-27-39(2)3)49(45,6)37-35-46(43)48/h8-9,11-12,14-15,17-18,20-21,30,39-40,42-46H,7,10,13,16,19,22-29,31-38H2,1-6H3/b9-8-,12-11-,15-14-,18-17-,21-20-/t40-,42+,43+,44-,45+,46+,48+,49-/m1/s1",,,C49H78O2,[M],mxp0499-sc ,[M+Na]+,721.5894014,Calculated
CE 22:6,CE 22:6,CP,Sterol Lipids,Sterol esters,Chol. esters,HMDB0006733,CHEBI:74102,,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC |&1:6,8,11,12,17,20,22,25|","InChI=1S/C49H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-29-47(50)51-42-34-36-48(5)41(38-42)30-31-43-45-33-32-44(40(4)28-26-27-39(2)3)49(45,6)37-35-46(43)48/h8-9,11-12,14-15,17-18,20-21,23-24,30,39-40,42-46H,7,10,13,16,19,22,25-29,31-38H2,1-6H3/b9-8-,12-11-,15-14-,18-17-,21-20-,24-23-/t40-,42+,43+,44-,45+,46+,48+,49-/m1/s1",,,C49H76O2,[M],mxp0498-sc ,[M+Na]+,719.5737514,Calculated
Cer 40:1;O2,Cer 40:1;O2,CP,Sphingolipids,Ceramides,Cer,HMDB0004952,CHEBI:72966,5283567,"CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC |&1:24,27|","InChI=1S/C40H79NO3/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-40(44)41-38(37-42)39(43)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h33,35,38-39,42-43H,3-32,34,36-37H2,1-2H3,(H,41,44)/b35-33+/t38-,39+/m0/s1",KEPQASGDXIEOIL-GLQCRSEXSA-N,,C40H79NO3,[M],mxp2920-sc ,[M+Na]+,644.5952154,Calculated
Cer 42:1;O2,Cer 42:1;O2,CP,Sphingolipids,Ceramides,Cer,HMDB0004956,CHEBI:72965,5283571,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC |&1:26,29|","InChI=1S/C42H83NO3/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-42(46)43-40(39-44)41(45)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2/h35,37,40-41,44-45H,3-34,36,38-39H2,1-2H3,(H,43,46)/b37-35+/t40-,41+/m0/s1",ZJVVOYPTFQEGPH-AUTSUKAISA-N,,C42H83NO3,[M],mxp2921-sc ,[M+Na]+,672.6265154,Calculated
Cer 42:2;O2,Cer 42:2;O2,CP,Sphingolipids,Ceramides,Cer,HMDB0004953,CHEBI:74450,,"CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC |&1:15,17|","InChI=1S/C42H81NO3/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-26-28-30-32-34-36-38-42(46)43-40(39-44)41(45)37-35-33-31-29-27-25-16-14-12-10-8-6-4-2/h17-18,35,37,40-41,44-45H,3-16,19-34,36,38-39H2,1-2H3,(H,43,46)/b18-17-,37-35+/t40-,41+/m0/s1",,,C42H81NO3,[M],mxp2922-sc ,[M+Na]+,670.6108654,Calculated
Cholesterol,Cholesterol,CP,Sterol Lipids,Sterols,Cholesterols,HMDB0000067,CHEBI:16113,5997,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C |&1:6,8,11,12,17,21,23,26|","InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",HVYWMOMLDIMFJA-DPAQBDIFSA-N,,C27H46O,[M],mxp0711 ,[M-H2O+H]+,369.3515764,Calculated
Coenzyme Q10,Coenzyme Q10,CP,Prenol Lipids,Quinones and hydroquinones,Ubiquinones,HMDB0001072,CHEBI:46245,5281915,CC(C)=CCC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC/C(/C)=C/CC1C(=O)C(OC)=C(OC)C(=O)C=1C,"InChI=1S/C59H90O4/c1-44(2)24-15-25-45(3)26-16-27-46(4)28-17-29-47(5)30-18-31-48(6)32-19-33-49(7)34-20-35-50(8)36-21-37-51(9)38-22-39-52(10)40-23-41-53(11)42-43-55-54(12)56(60)58(62-13)59(63-14)57(55)61/h24,26,28,30,32,34,36,38,40,42H,15-23,25,27,29,31,33,35,37,39,41,43H2,1-14H3/b45-26+,46-28+,47-30+,48-32+,49-34+,50-36+,51-38+,52-40+,53-42+",ACTIUHUUMQJHFO-UPTCCGCDSA-N,,C59H90O4,[M],mxp0882 ,[M+Na]+,885.6731314,Calculated
DG 32:0,DG 32:0,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007098,CHEBI:82929,,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C35H68O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32-33(31-36)40-35(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h33,36H,3-32H2,1-2H3/t33-/m0/s1",,,C35H68O5,[M],mxp0517-sc ,[M+NH4]+,586.5405004,Calculated
DG 32:1,DG 32:1,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007099,CHEBI:84394,,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCC,"InChI=1S/C35H66O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(37)39-32-33(31-36)40-35(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h14,16,33,36H,3-13,15,17-32H2,1-2H3/b16-14-/t33-/m0/s1",,,C35H66O5,[M],mxp0516-sc ,[M+NH4]+,584.5248504,Calculated
DG 34:1,DG 34:1,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007102,CHEBI:75466,,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,35,38H,3-16,19-34H2,1-2H3/b18-17-/t35-/m0/s1",,,C37H70O5,[M],mxp2923-sc ,[M+NH4]+,612.5561504,Calculated
DG 34:2,DG 34:2,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007103,CHEBI:82927,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCC,"InChI=1S/C37H68O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,35,38H,3-10,12,14-16,19-34H2,1-2H3/b13-11-,18-17-/t35-/m0/s1",,,C37H68O5,[M],mxp0519-sc ,[M+NH4]+,610.5405004,Calculated
DG 34:3,DG 34:3,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007132,CHEBI:84419,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCCCC,"InChI=1S/C37H66O5/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(40)42-35(33-38)34-41-36(39)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13-14,16-18,35,38H,3-10,12,15,19-34H2,1-2H3/b13-11-,16-14-,18-17-/t35-/m0/s1",,,C37H66O5,[M],mxp0518-sc ,[M+NH4]+,608.5248504,Calculated
DG 36:0,DG 36:0,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0056036,,,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC,,,,C39H76O5,[M],mxp2924-sc ,[M+NH4]+,642.6031004,Calculated
DG 36:1,DG 36:1,CP,Glycerolipids,Diradylglycerols,DAG,HMDB0007216,CHEBI:75448,,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCCCC,"InChI=1S/C39H74O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(41)43-36-37(35-40)44-39(42)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17,19,37,40H,3-16,18,20-36H2,1-2H3/b19-17-/t37-/m0/s1",,,C39H74O5,[M],mxp0524-sc ,[M+NH4]+,640.5874504,Calculated
