"","inPathway","outPathway"
"Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency (ptps)",21,90473
"Lansoprazole Pathway",15,90479
"Non Ketotic Hyperglycinemia",55,90439
"Neomycin Pathway",20,90474
"Indapamide Pathway",9,90485
"Methadone Metabolism Pathway",7,90487
"Argininosuccinic Aciduria",28,90466
"Gemcitabine Metabolism Pathway",10,90484
"Ubiquinone Biosynthesis",19,90475
"Benazepril Metabolism Pathway",3,90491
"Hydrochlorothiazide Pathway",9,90485
"Sialuria or French Type Sialuria",32,90462
"Refsum Disease",24,90470
"Valine, Leucine and Isoleucine Degradation",121,90373
"Verapamil Pathway",13,90481
"Magnesium salicylate Action Pathway",65,90429
"Tramadol Metabolism Pathway",15,90479
"Citrullinemia Type I",28,90466
"Prolidase Deficiency (PD)",53,90441
"Homocarnosinosis",49,90445
"Threonine and 2-Oxobutanoate Degradation",20,90474
"Tigecycline Action Pathway",20,90474
"Methadyl Acetate Action Pathway",11,90483
"Monoamine oxidase-a deficiency (MAO-A)",68,90426
"Gaucher Disease",39,90455
"Josamycin Action Pathway",20,90474
"Arbekacin Action Pathway",20,90474
"Acetaminophen  Action Pathway",65,90429
"Hypercholesterolemia",45,90449
"Carfentanil Pathway",10,90484
"Methylmalonic Aciduria",59,90435
"Aminocaproic Acid Pathway",5,90489
"Trehalose Degradation",11,90483
"Oxidation of Branched Chain Fatty Acids",26,90468
"Phosphatidylinositol Phosphate Metabolism",17,90477
"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)",55,90439
"Lansoprazole Metabolism Pathway",2,90492
"Celecoxib Metabolism Pathway",12,90482
"Docetaxel Pathway",5,90489
"Esomeprazole Metabolism Pathway",1,90493
"Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH",43,90451
"Indomethacin Pathway",65,90429
"Vitamin B6 Metabolism",44,90450
"L-arginine:glycine amidinotransferase deficiency",53,90441
"Malonic Aciduria",38,90456
"Tiaprofenic Acid Action Pathway",65,90429
"Hereditary Coproporphyria (HCP)",39,90455
"Familial Hypercholanemia (FHCA)",63,90431
"Meloxicam Pathway",65,90429
"Esmolol Pathway",12,90482
"Anileridine Action Pathway",11,90483
"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)",53,90441
"Mitochondrial DNA depletion syndrome",73,90421
"Gentamicin Pathway",20,90474
"Intracellular Signalling Through PGD2 receptor and Prostaglandin D2",7,90487
"Oxymorphone Pathway",11,90483
"Vincristine Pathway",5,90489
"Vindesine Pathway",5,90489
"Primary hyperoxaluria II, PH2",46,90448
"Molybdenum Cofactor Deficiency",73,90421
"Reteplase Pathway",4,90490
"Acebutolol Pathway",12,90482
"Temocapril Action Pathway",6,90488
"Lumiracoxib Action Pathway",65,90429
"Warburg Effect",58,90436
"Hydromorphone Pathway",11,90483
"Folate malabsorption, hereditary",29,90465
"Medium chain acyl-coa dehydrogenase deficiency (MCAD)",42,90452
"2-Hydroxyglutric Aciduria (D And L Form)",49,90445
"Dopamine beta-hydroxylase deficiency",68,90426
"Lornoxicam Action Pathway",65,90429
"Zellweger Syndrome",63,90431
"Fluoxetine Pathway",17,90477
"Glutamate Metabolism",49,90445
"Sphingolipid Metabolism",189,90305
"Rofecoxib Pathway",64,90430
"Cimetidine Metabolism Pathway",1,90493
"Alprenolol Pathway",12,90482
"Long chain acyl-CoA dehydrogenase deficiency (LCAD)",42,90452
"Lamivudine  Action Pathway",4,90490
"Coagulation ",4,90490
"Metiamide Action Pathway",14,90480
"Gliclazide Pathway",6,90488
"Captopril Pathway",7,90487
"Piroxicam Pathway",66,90428
"Lidocaine (Local Anaesthetic) Metabolism Pathway",17,90477
"Ardeparin Pathway",6,90488
"Tirofiban Pathway",1,90493
"Fluorouracil Pathway",1,90493
"Lactic Acidemia",17,90477
"Diflunisal Pathway",65,90429
"Hydroflumethiazide Pathway",9,90485
"Levallorphan Action Pathway",11,90483
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",27,90467
"Vasopressin Regulation of Water Homeostasis",7,90487
"Congenital Erythropoietic Porphyria (CEP) or Gunther Disease",39,90455
"Desipramine Metabolism Pathway",8,90486
"Vinblastine Pathway",6,90488
"Torsemide Pathway",9,90485
"Levomethadyl Acetate Action Action Pathway",11,90483
"Gluconeogenesis",81,90413
"Muscle/Heart Contraction",11,90483
"3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency",59,90435
"Corticosterone methyl oxidase I deficiency (CMO I)",43,90451
"Familial lipoprotein lipase deficiency",24,90470
"Rilpivirine Action Pathway",4,90490
"Chloramphenicol Action Pathway",20,90474
"sarcosine oncometabolite pathway ",25,90469
"Malate-Aspartate Shuttle",10,90484
"Alfentanil Pathway",11,90483
"Leigh Syndrome",46,90448
"Amiloride Pathway",9,90485
"Nateglinide Pathway",5,90489
"3-hydroxyisobutyric acid dehydrogenase deficiency",59,90435
"Suprofen Pathway",65,90429
"Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)",46,90448
"Valproic Acid Metabolism Pathway",26,90468
"Dicoumarol Action Pathway",5,90489
"Methylmalonic Aciduria Due to Cobalamin-Related Disorders",38,90456
"Eplerenone Pathway",9,90485
"Ibuprofen Pathway",69,90425
"Arginine and Proline Metabolism",164,90330
"Succinyl CoA: 3-ketoacid CoA transferase deficiency",13,90481
"5-Oxoprolinuria",19,90475
"Salicylic Acid Action Pathway",65,90429
"Pirenzepine Pathway",14,90480
"Azithromycin Pathway",20,90474
"Mepivacaine Pathway",11,90483
"Excitatory Neural Signalling Through 5-HTR 6 and Serotonin ",8,90486
"Glycerol Kinase Deficiency",24,90470
"Erythromycin Pathway",20,90474
"Lactose Synthesis",25,90469
"Irinotecan Metabolism Pathway",9,90485
"Irinotecan Pathway",23,90471
"Emtricitabine Action Pathway",4,90490
"Vitamin A Deficiency",33,90461
"Glucose-6-phosphate dehydrogenase deficiency",29,90465
"Fosinopril Pathway",7,90487
"Steroidogenesis",43,90451
"5-oxoprolinase deficiency",19,90475
"Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone",7,90487
"Carnosinuria, carnosinemia",34,90460
"Carbamoyl Phosphate Synthetase Deficiency",28,90466
"Histidinemia",41,90453
"Pamidronate Pathway",46,90448
"Acute Intermittent Porphyria",39,90455
"Degradation of Superoxides",11,90483
"Phenylalanine and Tyrosine Metabolism",28,90466
"Rosuvastatin Pathway",46,90448
"3-Methylglutaconic Aciduria Type IV",59,90435
"The oncogenic action of 2-hydroxyglutarate",38,90456
"Glycogenosis, Type IB",35,90459
"Imipramine Metabolism Pathway",12,90482
"Inositol Phosphate Metabolism",160,90334
"Taurine and Hypotaurine Metabolism",39,90455
"Erlotinib Pathway",5,90489
"Cimetidine Pathway",14,90480
"Spermidine and Spermine Biosynthesis",17,90477
"Doxepin Metabolism Pathway",13,90481
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",53,90441
"Xanthine Dehydrogenase Deficiency (Xanthinuria)",73,90421
"Triamterene Pathway",9,90485
"Atenolol Pathway",12,90482
"Hyperlysinemia I, Familial",27,90467
"Rosiglitazone Metabolism Pathway",10,90484
"Moexipril Metabolism Pathway",3,90491
"Cerivastatin Pathway",45,90449
"Congenital Bile Acid Synthesis Defect Type III",63,90431
"The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ",39,90455
"Spironolactone Pathway",9,90485
"Fosphenytoin (Antiarrhythmic) Metabolism Pathway",2,90492
"Hyperornithinemia with gyrate atrophy (HOGA)",53,90441
"Diphenoxylate Action Pathway",11,90483
"Lincomycin Action Pathway",20,90474
"Phenprocoumon Pathway",5,90489
"Prednisolone Metabolism Pathway",1,90493
"Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency",43,90451
"Methionine Adenosyltransferase Deficiency",43,90451
"Arachidonic Acid Metabolism",236,90258
"Bromfenac Pathway",65,90429
"Desipramine Pathway",17,90477
"Gastric Acid Production",26,90468
"Mercaptopurine Metabolism Pathway",23,90471
"Bupivacaine Pathway",11,90483
"Glutathione Metabolism",121,90373
"Ropivacaine Pathway",11,90483
"Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin",7,90487
"Felodipine Pathway",12,90482
"Simvastatin Action Pathway",46,90448
"Levorphanol Action Pathway",11,90483
"Roxithromycin Pathway",20,90474
"Ribose-5-phosphate isomerase deficiency",29,90465
"Transfer of Acetyl Groups into Mitochondria",22,90472
"Pantoprazole Pathway",15,90479
"Cilostazol Pathway",2,90492
"Pterine Biosynthesis",29,90465
"Ifosfamide Pathway",20,90474
"Cilazapril Pathway",7,90487
"Selenoamino Acid Metabolism",198,90296
"27-Hydroxylase Deficiency",63,90431
"Paclitaxel Pathway",6,90488
"Lymecycline Pathway",20,90474
"Atorvastatin Pathway",46,90448
"Mitochondrial complex II deficiency",32,90462
"Leukotriene C4 Synthesis Deficiency",64,90430
"Naloxone Action Pathway",11,90483
"Riboflavin Metabolism",42,90452
"Glycogen synthetase deficiency",29,90465
"Trichlormethiazide Pathway",9,90485
"Aromatic L-Aminoacid Decarboxylase Deficiency",18,90476
"Oxycodone Pathway",11,90483
"Hyperlysinemia II or Saccharopinuria",27,90467
"Ureidopropionase deficiency",34,90460
"Dimethylglycine Dehydrogenase Deficiency",55,90439
"Tranexamic Acid Pathway",5,90489
"Retinol Metabolism",107,90387
"Valdecoxib Pathway",65,90429
"Methylhistidine Metabolism",4,90490
"Bevantolol Action Pathway",12,90482
"Proparacaine Pathway",11,90483
"Lidocaine (Local Anaesthetic) Pathway",26,90468
"GABA-Transaminase Deficiency",34,90460
"Diltiazem Pathway",12,90482
"Arbutamine Action Pathway",12,90482
"Fanconi-bickel syndrome",25,90469
"Biotin Metabolism",34,90460
"Metolazone Pathway",9,90485
"Citric Acid Cycle",32,90462
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)",28,90466
"Procainamide (Antiarrhythmic) Pathway",12,90482
"Spectinomycin Pathway",20,90474
"Tenofovir Metabolism Pathway",4,90490
"Plasmalogen Synthesis",26,90468
"Fc Epsilon Receptor I Signaling in Mast Cells",15,90479
"Argininemia",28,90466
"Kanamycin Pathway",20,90474
"Zalcitabine Action Pathway",4,90490
"Hawkinsinuria",68,90426
"Biotinidase Deficiency",7,90487
"Congenital lactic acidosis",32,90462
"Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin",9,90485
"Pantothenate and CoA Biosynthesis",57,90437
"Catecholamine Biosynthesis",30,90464
"Practolol Action Pathway",12,90482
"Nicotinate and Nicotinamide Metabolism",108,90386
"Famotidine Pathway",14,90480
"GLUT-1 deficiency syndrome",20,90474
"Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency",43,90451
"Congenital Bile Acid Synthesis Defect Type II",63,90431
"Pyruvate Carboxylase Deficiency",17,90477
"Pyruvate Dehydrogenase Complex Deficiency",46,90448
"Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)",18,90476
"Pancreas Function",4,90490
"Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin ",8,90486
"Nadolol Pathway",12,90482
"Levobupivacaine Pathway",11,90483
"Spirapril Metabolism Pathway",3,90491
"Xanthinuria type II",73,90421
"Wolman disease",45,90449
"Glucose Transporter Defect (SGLT2)1",8,90486
"Phenylbutazone Action Pathway",65,90429
"Dobutamine Action Pathway",12,90482
"Propranolol Pathway",12,90482
"Acenocoumarol Pathway",5,90489
"Nitrendipine Pathway",12,90482
"Felodipine Metabolism Pathway",1,90493
"Codeine Pathway",21,90473
"Tolmetin Action Pathway",65,90429
"Glycolysis",119,90375
"Ibandronate Pathway",46,90448
"Celecoxib Pathway",71,90423
"Roxatidine acetate Action Pathway",14,90480
"Rescinnamine Pathway",7,90487
"Clarithromycin Pathway",20,90474
"Glycerolipid Metabolism",117,90377
"Glycogenosis, Type IA. Von gierke disease",35,90459
"Quinidine Pathway",12,90482
"Olmesartan Action Pathway",7,90487
"Fatty Acid Elongation In Mitochondria",35,90459
"Adefovir Dipivoxil Pathway",5,90489
"Glutathione Synthetase Deficiency",19,90475
"Fatty acid Metabolism",497,89997
"S-Adenosylhomocysteine (SAH) Hydrolase Deficiency",43,90451
"Blue diaper syndrome",8,90486
"The oncogenic action of Fumarate",40,90454
"Adenylosuccinate Lyase Deficiency",73,90421
"Hyperphenylalaninemia due to dhpr-deficiency",21,90473
"Levomethadyl Acetate Metabolism Pathway",7,90487
"Glucose-Alanine Cycle",13,90481
"Globoid Cell Leukodystrophy",39,90455
"Cyclophosphamide Metabolism Pathway",18,90476
"Disopyramide Pathway",12,90482
"Tyrosinemia Type 3 (TYRO3)",28,90466
"Moexipril Pathway",7,90487
"3-Beta-Hydroxysteroid Dehydrogenase Deficiency",43,90451
"Galactosemia III",20,90474
"Etodolac Pathway",65,90429
"Capecitabine Metabolism Pathway",7,90487
"Ramipril Metabolism Pathway",3,90491
"Betazole Action Pathway",14,90480
"Flecainide Pathway",12,90482
"Ethanol Degradation",19,90475
"Mefanamic Acid Pathway",65,90429
"Salicylate-sodium Action Pathway",65,90429
"Capecitabine Pathway",7,90487
"Lactose Intolerance",9,90485
"Amlodipine Pathway",12,90482
"Purine Metabolism",292,90202
"Fluoxetine Metabolism Pathway",8,90486
"Hyperphenylalaniemia due to guanosine triphosphate cyclohydrolase deficiency",21,90473
"Fenoprofen Action Pathway",65,90429
"Pyridoxine dependency with seizures",27,90467
"Methadone Pathway",16,90478
"Sufentanil Pathway",11,90483
"Teniposide Pathway",9,90485
"Streptomycin Pathway",20,90474
"Triosephosphate isomerase",35,90459
"Troleandomycin Action Pathway",20,90474
"11-beta-hydroxylase deficiency (CYP11B1)",43,90451
"Amikacin Pathway",20,90474
"Alanine Metabolism",17,90477
"Nucleotide Sugars Metabolism",20,90474
"Adrenoleukodystrophy, X-linked",14,90480
"Propionic Acidemia",59,90435
"Irbesartan Action Pathway",7,90487
"Escitalopram Pathway",11,90483
"Hyperglycinemia, non-ketotic",55,90439
"Hydrocodone Pathway",11,90483
"Hypophosphatasia",20,90474
"Enalapril Pathway",7,90487
"Carnitine palmitoyl transferase deficiency (II)",42,90452
"Tenofovir Pathway",5,90489
"Artemether Metabolism Pathway",9,90485
"Beta-Ketothiolase Deficiency",59,90435
"Intracellular Signalling Through Adenosine Receptor A2b and Adenosine",11,90483
"Methacycline Action Pathway",20,90474
"Cilazapril Metabolism Pathway",3,90491
"Anistreplase Pathway",4,90490
"Homocysteine Degradation",9,90485
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)",58,90436
"Tyrosine hydroxylase deficiency",18,90476
"3-Methylglutaconic Aciduria Type III",59,90435
"Glutaminolysis and Cancer",42,90452
"Gemcitabine Pathway",10,90484
"Remifentanil Pathway",11,90483
"Methylmalonate Semialdehyde Dehydrogenase Deficiency",59,90435
"Propanoate Metabolism",102,90392
"Succinic semialdehyde dehydrogenase deficiency",49,90445
"Dipyridamole (Antiplatelet) Pathway",2,90492
"Heparin Pathway",5,90489
"Clindamycin Pathway",20,90474
"Bile Acid Biosynthesis",65,90429
"Phenindione Action Pathway",5,90489
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)1",58,90436
"MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)",59,90435
"Prolinemia Type II",53,90441
"Pravastatin Pathway",46,90448
"Xanthinuria type I",73,90421
"Thioguanine Metabolism Pathway",4,90490
"Cholesteryl ester storage disease",45,90449
"Sulfate/Sulfite Metabolism",22,90472
"Ximelagatran Pathway",5,90489
"Rabeprazole Pathway",15,90479
"Trifunctional protein deficiency",42,90452
"Polythiazide Pathway",9,90485
"Mitochondrial Electron Transport Chain",19,90475
"Fructosuria",32,90462
"Isoprenaline Action Pathway",12,90482
"Purine Nucleoside Phosphorylase Deficiency",73,90421
"Beta-mercaptolactate-cysteine disulfiduria",26,90468
"Benzocaine Pathway",11,90483
"Metipranolol Action Pathway",12,90482
"Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)",42,90452
"Trandolapril Pathway",7,90487
"21-hydroxylase deficiency (CYP21)",43,90451
"AICA-Ribosiduria",73,90421
"Gamma-Glutamyltransferase Deficiency",19,90475
"Isobutyryl-coa dehydrogenase deficiency",59,90435
"Ethylmorphine Action Pathway",11,90483
"G(M2)-Gangliosidosis: Variant B, Tay-sachs disease",32,90462
"Carnitine Synthesis",29,90465
"Bupranolol Action Pathway",12,90482
"Ticlopidine Metabolism Pathway",1,90493
"Smith-Lemli-Opitz Syndrome (SLOS)",45,90449
"Dimethylglycine Dehydrogenase Deficiency1",55,90439
"Forasartan Action Pathway",7,90487
"Hyper-IgD syndrome",45,90449
"Methionine Metabolism",43,90451
"Doxycycline Pathway",20,90474
"Tyrosinemia Type 2 (or Richner-Hanhart syndrome)",28,90466
"Tamoxifen Metabolism Pathway",20,90474
"Nabumetone Pathway",65,90429
"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",43,90451
"Alpha Linolenic Acid and Linoleic Acid Metabolism",19,90475
"Valsartan Action Pathway",7,90487
"Insulin Signalling",8,90486
"Corticotropin Activation of Cortisol Production",7,90487
"Mercaptopurine Pathway",83,90411
"Carvedilol Pathway",13,90481
"Pyruvate kinase deficiency",46,90448
"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)",53,90441
"Sulfite oxidase deficiency",22,90472
"Prednisone Pathway",4,90490
"Zidovudine Action Pathway",4,90490
"Angiotensin Metabolism",6,90488
"Porphyrin Metabolism",39,90455
"Methotrexate Pathway",30,90464
"Clomocycline Pathway",20,90474
"Starch and Sucrose Metabolism",95,90399
"Myoadenylate deaminase deficiency",73,90421
"Telmisartan Action Pathway",7,90487
"Phenytoin (Antiarrhythmic) Pathway",24,90470
"Fructose intolerance, hereditary",32,90462
"Argatroban Pathway",5,90489
"Transaldolase deficiency",29,90465
"Thiamine Metabolism",52,90442
"Tyrosinemia, transient, of the newborn",68,90426
"The oncogenic action of Succinate",39,90455
"Venlafaxine Metabolism Pathway",8,90486
"Disulfiram Pathway",79,90415
"Azathioprine Pathway",85,90409
"Candesartan Action Pathway",7,90487
"Betaxolol Pathway",12,90482
"Dihydromorphine Action Pathway",11,90483
"Iminoglycinuria",8,90486
"3-Phosphoglycerate dehydrogenase deficiency",55,90439
"Glycogenosis, Type IC",35,90459
"Rabeprazole Metabolism Pathway",2,90492
"Ranitidine Pathway",14,90480
"Cerebrotendinous Xanthomatosis (CTX)",63,90431
"Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]",53,90441
"Efavirenz Action Pathway",4,90490
"Antipyrine Action Pathway",65,90429
"Penbutolol Pathway",12,90482
"Metoprolol Pathway",12,90482
"Lovastatin Pathway",46,90448
"Ifosfamide Metabolism Pathway",20,90474
"Prednisone Metabolism Pathway",4,90490
"Lesch-Nyhan Syndrome (LNS)",73,90421
"Oxybuprocaine Pathway",11,90483
"Dicumarol Pathway",5,90489
"Oxytetracycline Pathway",20,90474
"Adenine phosphoribosyltransferase deficiency (APRT)",73,90421
"Tetracycline Pathway",20,90474
"Eprosartan Action Pathway",7,90487
"Pentazocine Action Pathway",11,90483
"Glycine N-methyltransferase Deficiency",43,90451
"Furosemide Pathway",9,90485
"Caffeine Metabolism",42,90452
"Malonyl-coa decarboxylase deficiency",38,90456
"Acetaminophen Metabolism Pathway",16,90478
"Sepiapterin reductase deficiency",21,90473
"Acetylsalicylic Acid Pathway",65,90429
"Mexiletine Pathway",12,90482
"Kidney Function",8,90486
"Ammonia Recycling",31,90463
"Heroin Metabolism Pathway",4,90490
"Pyruvate dehydrogenase deficiency (E2)",32,90462
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",29,90465
"Gout or Kelley-Seegmiller Syndrome",73,90421
"Isovaleric acidemia",59,90435
"Rolitetracycline Action Pathway",20,90474
"Pyruvate dehydrogenase deficiency (E3)",32,90462
"Lisinopril Pathway",7,90487
"Fabry disease",39,90455
"2-ketoglutarate dehydrogenase complex deficiency",32,90462
"Zoledronate Pathway",46,90448
"Cysteine Metabolism",26,90468
"Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)",33,90461
"Desmosterolosis",45,90449
"Lysinuric protein intolerance (LPI)",8,90486
"Ketone Body Metabolism",30,90464
"Buprenorphine Action Pathway",11,90483
"Folate Metabolism",56,90438
"Alvimopan Action Pathway",11,90483
"Morphine Metabolism Pathway",4,90490
"Nevirapine  Action Pathway",4,90490
"Glycogenosis, Type VI. Hers disease",29,90465
"Levobunolol Action Pathway",12,90482
"Fructose and Mannose Degradation",32,90462
"Citalopram Pathway",22,90472
"Naproxen Pathway",66,90428
"Nevirapine Metabolism Pathway",18,90476
"Glycine and Serine Metabolism",58,90436
"Nimodipine Pathway",12,90482
"Salla Disease/Infantile Sialic Acid Storage Disease",32,90462
"Glibenclamide Pathway",5,90489
"Isovaleric Aciduria",59,90435
"Lepirudin Pathway",4,90490
"Teniposide Metabolism Pathway",9,90485
"Carnitine palmitoyl transferase deficiency (I)",42,90452
"Tamoxifen Pathway",20,90474
"Beta-Alanine Metabolism",84,90410
"Chlorothiazide Pathway",9,90485
"DNA Replication Fork",4,90490
"Tenoxicam Action Pathway",65,90429
"Benazepril Pathway",7,90487
"Excitatory Neural Signalling Through 5-HTR 4 and Serotonin",8,90486
"Antrafenine Action Pathway",65,90429
"Bisoprolol Pathway",12,90482
"Lysine Degradation",129,90365
"Beta Ureidopropionase Deficiency",59,90435
"Phospholipid Biosynthesis",30,90464
"Bumetanide Pathway",9,90485
"Abacavir Action Pathway",4,90490
"Clomipramine Metabolism Pathway",13,90481
"Diclofenac Pathway",66,90428
"17-alpha-hydroxylase deficiency (CYP17)",43,90451
"Tay-Sachs Disease",32,90462
"Enalapril Metabolism Pathway",3,90491
"Carbamazepine Metabolism Pathway",16,90478
"Fentanyl Pathway",11,90483
"Propoxyphene Action Pathway",11,90483
"Apparent mineralocorticoid excess syndrome",43,90451
"Gamma-cystathionase deficiency (CTH)",8,90486
"Felbamate Metabolism Pathway",11,90483
"Pyruvate Metabolism",119,90375
"Nicotine Pathway",36,90458
"Cyclothiazide Pathway",9,90485
"Nalbuphine Action Pathway",11,90483
"Dihydropyrimidinase Deficiency",59,90435
"Trisalicylate-choline Action Pathway",65,90429
"Tyrosinemia Type I",68,90426
"Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)",45,90449
"Hartnup Disorder",8,90486
"CHILD Syndrome",45,90449
"Tryptophan Metabolism",233,90261
"Etoposide Pathway",14,90480
"Fatty Acid Biosynthesis",110,90384
"Segawa syndrome",21,90473
"3-hydroxyisobutyric aciduria",59,90435
"Saccharopinuria/Hyperlysinemia II",27,90467
"Aromatase deficiency",31,90463
"Streptokinase Pathway",4,90490
"2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency",59,90435
"Ticlopidine Pathway",2,90492
"Bendroflumethiazide Pathway",9,90485
"Ibuprofen Metabolism Pathway",10,90484
"Ramipril Pathway",7,90487
"Steroid Biosynthesis",111,90383
"Nicotine Metabolism Pathway",26,90468
"Pyruvaldehyde Degradation",10,90484
"Hypermethioninemia",43,90451
"Nisoldipine Pathway",12,90482
"Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease",35,90459
"Mevalonic aciduria",45,90449
"17-Beta Hydroxysteroid Dehydrogenase III Deficiency",31,90463
"Ketoprofen Pathway",65,90429
"Codeine Metabolism Pathway",12,90482
"Leucine Stimulation on Insulin Signaling",2,90492
"Didanosine Action Pathway",4,90490
"Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1)",35,90459
"Betaine Metabolism",21,90473
"Delavirdine Action Pathway",4,90490
"Nebivolol Pathway",12,90482
"Tramadol Action Action Pathway",11,90483
"Cyclophosphamide Pathway",18,90476
"Enoxaparin Pathway",5,90489
"Flurbiprofen Action Pathway",65,90429
"Alkaptonuria",68,90426
"Tocainide Pathway",12,90482
"Canavan Disease",34,90460
"Ketorolac Pathway",65,90429
"Gamma-glutamyl-transpeptidase deficiency",19,90475
"Glycogenosis, Type III. Cori disease, Debrancher glycogenosis",29,90465
"Homocystinuria, cystathionine beta-synthase deficiency",8,90486
"Phenylketonuria",30,90464
"Alendronate pathway",46,90448
"Fluvastatin Pathway",47,90447
"Cocaine Pathway",11,90483
"Cystinosis, ocular nonnephropathic",26,90468
"3-Methylthiofentanyl Action Pathway",10,90484
"Pyrimidine Metabolism",195,90299
"Beta Oxidation of Very Long Chain Fatty Acids",17,90477
"Lactose Degradation",9,90485
"Glycerol Phosphate Shuttle",11,90483
"Histidine Metabolism",101,90393
"Metachromatic Leukodystrophy (MLD)",39,90455
"Fosphenytoin (Antiarrhythmic) Pathway",14,90480
"Amiodarone Action Pathway",12,90482
"Androgen and Estrogen Metabolism",33,90461
"Clopidogrel Metabolism Pathway",10,90484
"Risedronate Pathway",46,90448
"Doxorubicin Metabolism Pathway",14,90480
"Ketobemidone  Action Pathway",11,90483
"Aprotinin Pathway",4,90490
"Lysosomal Acid Lipase Deficiency (Wolman Disease)",45,90449
"Stavudine Action Pathway",4,90490
"Dopamine Activation of Neurological Reward System",7,90487
"3-Methylglutaconic Aciduria Type I",59,90435
"Fosinopril Metabolism Pathway",3,90491
"Amino Sugar Metabolism",33,90461
"Ibutilide Pathway",12,90482
"D-Arginine and D-Ornithine Metabolism",17,90477
